EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"12,300",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,07-Mar-2019 04:20 PM,22-Mar-2019 10:30 AM,07-Mar-2019 04:20 PM,20-Mar-2019 10:30 AM,NA ,NA ,07-Mar-2019 04:20 PM,20-Mar-2019 10:30 AM,25-Mar-2019 11:00 AM,350.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,DD - Demand Draft,C/O R/Wall and Basket ball Ground in Govt. High School Building at Salauni Distt.Hamirpur,C/o Basket ball ground ) Deposit Work,Please refer Tender documents. ,NA ,"6,13,096",Civil Works - Buildings,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Basrar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,PWD,C/O R/Wall and Basket ball Ground in GHS Salouni,2019_PWD_28277_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,119172.0,BRAHAM DASS SHARMA,20-Mar-2019 07:45 AM,Rejected-Finance,L 3,10-Apr-2019 10:55 PM,Technical,bid opening summary,Anil Kumar Sharma,22-Mar-2019 03:27 PM,technical_40483.pdf,Finance,fin bid,Pramod Kashyap,25-Mar-2019 12:54 PM,finance_40483.pdf,BOQ Comparative Chart,1.0,118055.0,M/S N.D.ASSOCIATES,INR,"662,765",Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,23-Mar-2019 03:28 PM,25-Mar-2019 11:00 AM,techsummary_40483.pdf (481.02 KB),PWD,2019_PWD_28277_1,C/O R/Wall and Basket ball Ground in GHS Salouni,C/O R/Wall and Basket ball Ground in Govt. High School Building at Salauni Distt.Hamirpur,27-May-2019,"INR 613,096",60.0,Pramod Kashyap,27-May-2019 05:51 PM,salounibwall.pdf (482.00 KB),C/O R/Wall and Basket ball Ground in Govt. High School Building at Salauni Distt.Hamirpur,EE,Internal,supdt HDM DAO,Pramod Kashyap,10-Apr-2019 10:55 PM,finsummary_40483.pdf (149.42 KB),AOC
,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,AOC,2.0,118055.0,M/S N.D.ASSOCIATES,11-Mar-2019 06:46 PM,Accepted-AOC,L 1,27-May-2019 05:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,AOC,3.0,119117.0,Parmjeet Sharma,19-Mar-2019 05:58 PM,Rejected-Finance,L 2,10-Apr-2019 10:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,AOC,4.0,118718.0,V.V. CONSTRUCTION CO.,19-Mar-2019 07:53 PM,Rejected-Technical,Non Responsive,23-Mar-2019 03:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
