Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
Executive Engineer,Internal,Assistant Engineer Superintendent Ge.II Divisional Head Draughtsman and Tender Assistant,Diwakar Singh Pathania,10-May-2019 07:59 PM,14-May-2019 11:00 AM,techsummary_41530.pdf (300.83 KB),PWD,2019_PWD_28737_5,EE NH Chamba Letter No. 69-168 dated 08-04-2019,A/R and M/O on Chakki Banikhet Chamba Bharmour road NH-154A Km 106/0 172/0,Technical,Bid opening Summary,Diwakar Singh Pathania,10-May-2019 07:55 PM,technical_41530.pdf,1.0,120909.0,Construction,07-May-2019 03:16 PM,Rejected-AOC,l-3,28-May-2019 02:48 PM,Finance,A/R and M/O on Chakki Banikhet Chamba Bharmour road NH-154A Km 106/0 172/0,Diwakar Singh Pathania,28-May-2019 02:41 PM,finance_41530.pdf,BOQ Comparative Chart,AOC,500.0,Executive Engineer National Highway Division HPPWD,Chamba,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (indicated in schedule F),"42,920",No,fixed,,Executive Engineer National Highway Division HPPWD,Chamba,20-Apr-2019 11:00 AM,08-May-2019 11:30 AM,20-Apr-2019 11:00 AM,08-May-2019 11:00 AM,NA ,NA ,20-Apr-2019 11:00 AM,08-May-2019 11:00 AM,14-May-2019 11:00 AM,A/R and M/O on Chakki Banikhet Chamba Bharmour road NH-154A Km 106/0 172/0,Repair of Pot Holes in between Km106/0 to 130/0,Please refer Tender documents. ,NA ,"23,60,752",Civil Works,NA ,Tender,120.0,30.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer National Highway Division HPPWD,No ,No,Executive Engineer,Executive Engineer National Highway Division HPPWD Chamba,PWD,EE NH Chamba Letter No. 69-168 dated 08-04-2019,2019_PWD_28737_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,120919.0,Govt.Contractor,08-May-2019 09:51 AM,Rejected-AOC,L-2,28-May-2019 02:48 PM,,,,,,,AOC,,,,,,,.pdf,Earnest Money (indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,120890.0,Manesh Mehta,08-May-2019 07:48 AM,Accepted-AOC,L-1,28-May-2019 02:48 PM,,,,,,,AOC,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of Pan Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work experience as per clause 28.2 b of General Rules and Direction and as per Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of Machineries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
