Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
28-May-2019,"INR 3,590,000",180.0,Dalip singh Patial,30-May-2019 10:48 AM,AOC.pdf (656.00 KB),work awarded to L1 firm Ms Sharma Electrical Company,Er Dalip singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Ram Singh Junior Draughtsman Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,23-Feb-2019 03:48 PM,finsummary_36094.pdf (456.84 KB),Er Sanjay Kumar SE,Internal,Er B S Gora EE Er D S Patial EE Er Pradeep Kumar EO Sh Jeet Ram Supdt,Dalip singh Patial,23-Feb-2019 12:41 PM,23-Feb-2019 01:00 PM,techsummary_36094.pdf (1033.63 KB),PWD,2019_PWD_25768_1,PW/MED/TA/ NIT/e-notice/18-19-8552-56 dt 22.12.18,Providing and fixing One No. Electric Traction Elevator 26 Passenger at Regional Research Institute Ayurveda at Jaral Sayogi at Pandoh District Mandi HP,Technical,Technical bid summary,Dalip singh Patial,23-Feb-2019 12:38 PM,technical_36094.pdf,1.0,107800.0,classic construction company,15-Jan-2019 10:27 PM,Rejected-Finance,rejected being L2 firm,23-Feb-2019 03:48 PM,Finance,Financial bid summary,Dalip singh Patial,23-Feb-2019 03:44 PM,finance_36094.pdf,BOQ Comparative Chart,1.0,107452.0,SHARMA ELECTRICAL CO.,INR,"3,590,000",AOC,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,"55,750",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,"1,500",Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/ NIT/e-notice/18-19-8552-56 dt 22.12.18,2019_PWD_25768_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Providing and fixing One No. Electric Traction Elevator 26 Passenger at Regional Research Institute Ayurveda at Jaral Sayogi at Pandoh District Mandi HP,Providing and fixing One No. Electric Traction Elevator 26 Passenger at Regional Research Institute Ayurveda at Jaral Sayogi at Pandoh District Mandi HP,Plz refer to NIT and bid document ,NA ,"32,15,000",Electrical Works,NA ,Tender,120.0,180.0,Panodh,175124.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,07-Jan-2019 10:00 AM,16-Jan-2019 11:30 AM,07-Jan-2019 10:00 AM,16-Jan-2019 10:00 AM,NA ,NA ,07-Jan-2019 10:00 AM,16-Jan-2019 10:00 AM,23-Feb-2019 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,107452.0,SHARMA ELECTRICAL CO.,15-Jan-2019 06:07 PM,Accepted-AOC,work awarded being L1 firm,30-May-2019 10:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of approved OEM (Lift) / auth agency of approved OEM.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,4.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST REGITRATION GENERAL RULES,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF REGITRATION GENERAL RULES,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates past 5 yrs as per Technical qualification criteria,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
