Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,NO.PW-JD/E-TENDER/ 2017-18-15924-26 DT 31.03.17,2017_PWD_16122_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HPPWD Jubbal,500.0,EE Jubbal,Jubbal,No,Providing Periodical Maintenance to Dalli Dakhal Jakrari Road Km 3/0 to 7/0 under AMP 2017-18 (PMGSY Add)(SH-Providing Renewal Coat with 25mm thick Bitumenious Concrete),Providing Periodical Maintenance to Dalli Dakhal Jakrari Road Km 3/0 to 7/0 under AMP 2017-18 (PMGSY Add)(SH-Providing Renewal Coat with 25mm thick Bitumenious Concrete),Please refer Tender documents. ,NA ,"22,33,010",Civil Works - Roads,NA ,Tender,90.0,30.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,"41,000",No,fixed,,EE Jubbal,Jubbal,02-May-2017 02:00 PM,16-May-2017 11:00 AM,02-May-2017 02:00 PM,15-May-2017 06:00 PM,NA ,NA ,02-May-2017 03:00 PM,15-May-2017 06:00 PM,25-May-2017 05:20 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC,Er.Vipin Sharma,Internal,,Manoj Bhardwaj,25-May-2017 05:15 PM,25-May-2017 05:20 PM,techsummary_21933.pdf (568.94 KB),PWD,2017_PWD_16122_4,NO.PW-JD/E-TENDER/ 2017-18-15924-26 DT 31.03.17,Providing Periodical Maintenance to Dalli Dakhal Jakrari Road Km 3/0 to 7/0 under AMP 2017-18 (PMGSY Add)(SH-Providing Renewal Coat with 25mm thick Bitumenious Concrete),06-May-2019,"INR 2,747,793",30.0,Prem Pal Sharma,06-May-2019 09:17 AM,161224.pdf (438.00 KB),Awarded after negotation,Er Rakesh Thakur,Internal,DAO HDM Supdt,Prem Pal Sharma,01-May-2019 04:43 PM,finsummary_21933.pdf (400.94 KB),1.0,59468.0,Ravinder Chauhan,05-May-2017 02:28 PM,Accepted-AOC,awarded,06-May-2019 09:17 AM,Technical,Summary,Manoj Bhardwaj,25-May-2017 05:14 PM,technical_21933.pdf,1.0,59468.0,Ravinder Chauhan,INR,"2,747,793",Finance,single bid received,Prem Pal Sharma,01-May-2019 04:41 PM,finance_21933.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration (General Rules No 21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Machinery (Refer Schedule F With Reference To Clause 18),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
