Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Nerwa,Irrigation and Public Health,HP",2018_HPIPH_25271_1,IPH-ND-CB-TENDER/NIT/ 2017-18/-6391-41 dt 1/12/18,Providing LIS for Horticulture land of GP Nerwa to Village Rinjat Dhadu Chayama Dayandli etc. under drip irrigation and spray work Tehsil Nerwa,1.0,103634.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,INR,"16,904,378",Er. B.S.Rajput,Internal,AE Supdt DHD Sr. Asst AB TA,Bhim Singh Rajput,17-May-2019 12:38 PM,finsummary_35311.pdf (501.08 KB),1.0,103791.0,Er. Ankush Dewan,18-Dec-2018 05:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Jan-2019 05:14 PM,Er. S.C.Sharma,Internal,TA Sr.ASst.(AB) HDM AE to EE,Subash Chander Sharma,28-Jan-2019 05:20 PM,28-Jan-2019 06:00 PM,techsummary_35311.pdf (1004.62 KB),Technical,summary Attached,Subash Chander Sharma,28-Jan-2019 05:14 PM,None,Finance,Summary Attached,Subash Chander Sharma,29-Jan-2019 04:49 PM,finance_35311.pdf,BOQ Comparative Chart,18-May-2019,"INR 16,904,378",365.0,Bhim Singh Rajput,17-May-2019 01:10 PM,Aocrinjat.pdf (795.00 KB),One Crore Sixty nine Lakh Four Thousand Three Hundred and seventy eight,AOC,Er.S.C.Sharma,EE IPH Division nerwa,1.0,Fee/PreQual/Technical,.pdf,Tender fees As per NIT,800.0,EE Nerwa,Nerwa,Yes,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Nerwa,Irrigation and Public Health,HP",IPH-ND-CB-TENDER/NIT/ 2017-18/-6391-41 dt 1/12/18,2018_HPIPH_25271_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Providing LIS for Horticulture land of GP Nerwa to Village Rinjat Dhadu Chayama Dayandli etc. under drip irrigation and spray work Tehsil Nerwa,"CO Raw water tank Feeder GI pipe line 80mm dia. 2 Nos Sump well 97500 L and 77000 L 1 No D/Tank 77000 L P/L RMain Prov and Installation PMachinary, Co 2 No Pump house Co 2 Nos. RWall and 2 Nos. BWall",Please refer Tender documents. ,NA ,"85,23,352",Civil Works,NA ,Tender,120.0,365.0,GP Nerwa,171210.0,NA ,NA ,NA ,IPH Division Nerwa,No ,No,10-Dec-2018 04:30 PM,19-Dec-2018 11:30 AM,10-Dec-2018 04:30 PM,18-Dec-2018 06:00 PM,NA ,NA ,10-Dec-2018 04:30 PM,18-Dec-2018 06:00 PM,28-Jan-2019 06:00 PM,1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"1,17,700",Yes,fixed,,EE Nerwa,Nerwa,AOC
,,,,,,,,,,,,,,,2.0,103634.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,18-Dec-2018 03:14 PM,Accepted-AOC,L1,17-May-2019 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Earnest Money As per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,2.0,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,103654.0,HYDRAULIC ENGINEERING COMPANY,17-Dec-2018 07:06 PM,Rejected-AOC,L2,17-May-2019 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Registration with IPH as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Labour License ,Labour License ,,,,,,,,AOC
,,,,,,,,,,,,,,,4.0,103800.0,PARKASH CHAND GOVT CONTRACTOR CLASS B,18-Dec-2018 05:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Jan-2019 05:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Average Annual Financial Turnover As per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Experience of Having Successfully completed works As per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Registration with EPF/ESIS as per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration Income tax clearance pan card TIN no as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Income tax return for the financial year 2018-19(Assessment Year 2018-19) and sale tax latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding bidder/ firm should not have more than two incomplete works under this circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
