S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,PWD,PW/MED /TA/NIt/e-notice/18-19-3980-85 dt 25.08.18,2018_PWD_23393_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"32,550",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,Construction of Cluster University Building at Govt Degree College at Drang at Narla Distt Mandi HP SH Providing Electrical Installation therein,Construction of Cluster University Building at Govt Degree College at Drang at Narla Distt Mandi HP SH Providing Electrical Installation therein,Please refer to bid document ,NA ,"16,68,323",Electrical Works,NA ,Tender,120.0,365.0,Drang,175001.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,500.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",10-Sep-2018 10:00 AM,20-Sep-2018 11:30 AM,10-Sep-2018 10:00 AM,20-Sep-2018 10:00 AM,NA ,NA ,10-Sep-2018 10:00 AM,20-Sep-2018 10:00 AM,06-Oct-2018 03:00 PM,AOC,1.0,94760.0,SUNIL KAPOOR,INR,"1,494,225",Finance,Financial bid summary,Dalip singh Patial,08-Oct-2018 03:18 PM,finance_32727.pdf,BOQ Comparative Chart,1.0,95201.0,DHARMENDER SINGH,19-Sep-2018 07:45 PM,Rejected-AOC,rejected being L2 contractor,30-May-2019 10:56 AM,Technical,technical bid summary,Dalip singh Patial,06-Oct-2018 12:44 PM,technical_32727.pdf,Er Sanjay Kumar SE,Internal,Er B S Gora EE Er D S Patial EE Er Pradeep Sharma EO Sh Jeet Ram Supdt,Dalip singh Patial,06-Oct-2018 01:07 PM,06-Oct-2018 03:00 PM,techsummary_32727.pdf (1145.03 KB),PWD,2018_PWD_23393_1,PW/MED /TA/NIt/e-notice/18-19-3980-85 dt 25.08.18,Construction of Cluster University Building at Govt Degree College at Drang at Narla Distt Mandi HP SH Providing Electrical Installation therein,28-May-2019,"INR 1,494,225",365.0,Dalip singh Patial,30-May-2019 10:56 AM,AOC.pdf (637.00 KB),work awarded to L1 contractor Sh Sunil Kapoor,Er Dalip singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Amar Singh Draughtsman Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,08-Oct-2018 04:21 PM,finsummary_32727.pdf (511.74 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,AOC,,,,,,,,,,,,2.0,95158.0,Krishana Traders,19-Sep-2018 04:29 PM,Rejected-AOC,rejected being L4 contractor,30-May-2019 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in appropriate Class A or B,,,,,,,,,,AOC,,,,,,,,,,,,3.0,94760.0,SUNIL KAPOOR,17-Sep-2018 04:25 PM,Accepted-AOC,work awarded beign L1 contractor,30-May-2019 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,AOC,,,,,,,,,,,,4.0,95026.0,TARUN GUPTA,19-Sep-2018 06:50 PM,Rejected-AOC,rejected being L3 contractor,30-May-2019 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Electrical license REFER GENERAL RULES NO 23,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGITRATION GENERAL RULES NO. 21,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERMANENT ACCOUNT NUMBER (PAN),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
