Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,25-Apr-2019 04:39 PM,finsummary_38523.pdf (161.79 KB),21-May-2019,"INR 1,028,172",60.0,Sanjiv Kumar,21-May-2019 12:36 PM,Kandral.pdf (434.00 KB),PWD,2019_PWD_27048_1,PWD-BD-NIT-2018-19-16629-90,Periodic Maintenance Kandral to Village Kandral road DRRP No. HP403VR0151 (Under AMP 2019-20 Non PMGSY Road),Er S.K. Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,25-Feb-2019 05:39 PM,26-Feb-2019 12:00 PM,techsummary_38523.pdf (274.63 KB),Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,25-Feb-2019 05:37 PM,technical_38523.pdf,1.0,114428.0,ANURAG SHARMA,21-Feb-2019 07:29 PM,Rejected-Finance,Higher side,25-Apr-2019 04:39 PM,1.0,114504.0,G.P.ACHARYA,INR,"1,343,813",Finance,Financial Bid of the said work open on 26.2.2019 successfully,Sanjiv Kumar,25-Apr-2019 04:38 PM,finance_38523.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,"20,600",No,fixed,,EE Baijnath,Baijnath,PWD,PWD-BD-NIT-2018-19-16629-90,2019_PWD_27048_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Baijnath,Baijnath,No,Periodic Maintenance Kandral to Village Kandral road DRRP No. HP403VR0151 (Under AMP 2019-20 Non PMGSY Road),Providing and Laying built up spray grout single layer tack coat and Bituminous concrete at Km 0/0 to 1/500,Please refer Tender documents. ,NA ,"10,28,712",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Divisioni Baijnath,No ,No,1.0,Amount and Name Change,Other,,EE HPPWD Baijanth,EE HPPWD Baijanth,08-Feb-2019 06:55 PM,22-Feb-2019 11:00 AM,08-Feb-2019 06:55 PM,22-Feb-2019 10:30 AM,NA ,NA ,08-Feb-2019 06:55 PM,22-Feb-2019 10:30 AM,26-Feb-2019 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114504.0,G.P.ACHARYA,21-Feb-2019 11:08 PM,Accepted-AOC,Lower Side,21-May-2019 12:36 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Valid GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Minimum work done as indicated in SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"e- mail ID, Mobile No. is mandatory, since all kind of correspondence in regard to tender if any sha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
