Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
30-May-2019,"INR 5,320,915",30.0,Vivek Sharma,30-May-2019 07:05 PM,27077F.pdf (1623.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,27-May-2019 11:27 AM,finsummary_38552.pdf (757.49 KB),EEHamirpur,Internal,SupdtSrDAOAEtoEEHDM,Dev Raj,21-Feb-2019 08:01 PM,22-Feb-2019 03:00 PM,techsummary_38552.pdf (1006.06 KB),PWD,2019_PWD_27077_1,AMP 2019-2020 PMGSY roads under Hamirpur Sub-Div,AMP for the year 2019-2020 of PMGSY roads under HamirpurSub-Division. i AMP on link road to vill. Ligwin Km. 0/0 to 1/0,Technical,Attached,Vivek Sharma,21-Feb-2019 07:34 PM,technical_38552.pdf,1.0,113044.0,ASHISH SHARMA,15-Feb-2019 04:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Feb-2019 07:34 PM,Finance,Attached,Vivek Sharma,25-May-2019 03:08 PM,finance_38552.pdf,BOQ Comparative Chart,1.0,113303.0,Sanjay Thakur,INR,"5,956,981",AOC,1.0,DD - Demand Draft,"2,000",EE Dodrakawar,EE Hamirpur,No,EE Hamirpur,Executive Engieer HPPWD Hamirpur,PWD,AMP 2019-2020 PMGSY roads under Hamirpur Sub-Div,2019_PWD_27077_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Detail of machinery as per SBD,09-Feb-2019 09:00 AM,18-Feb-2019 11:30 AM,09-Feb-2019 11:00 AM,18-Feb-2019 10:30 AM,NA ,NA ,09-Feb-2019 11:00 AM,18-Feb-2019 10:30 AM,22-Feb-2019 03:00 PM,AMP for the year 2019-2020 of PMGSY roads under HamirpurSub-Division. i AMP on link road to vill. Ligwin Km. 0/0 to 1/0,AMP on Galod Hamirpur road Km. 6/0 to 7/0 and 13/0 to 14/0 3 AMP on Masiana to Galot road Km. 14/0 to 16/0 4 AMP on Chamardi Khagal road Km. 6/0 to 7/0,Please refer Tender documents. ,NA ,"45,78,306",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"76,200",No,fixed,,EE Hamirpur,EE Hamirpur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113067.0,ashok Thakur,17-Feb-2019 05:27 PM,Rejected-AOC,l2,30-May-2019 07:05 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders are required paver Machine / Mini Hot Plant for execution of work in the radius of 30km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,113303.0,Sanjay Thakur,17-Feb-2019 06:02 PM,Accepted-AOC,l1,30-May-2019 07:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,113068.0,umesh sharma,17-Feb-2019 03:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Feb-2019 07:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
