Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
21-May-2019,"INR 1,265,819",30.0,Virender Kumar,21-May-2019 10:48 AM,Award_letter.pdf (481.00 KB),Award_letter,Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,21-May-2019 10:45 AM,finsummary_39108.pdf (204.61 KB),Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,04-Mar-2019 12:45 PM,05-Mar-2019 11:00 AM,techsummary_39108.pdf (292.38 KB),PWD,2019_PWD_27458_1,Periodical Maintenance of Chuhla To Phangair,Periodical Maintenance Of Road From Chuhla To Phangair Road (Extention Daroh Garh Jamula Up To Bair Ghatta Road) under AMP 2019-20,1.0,115381.0,Kulvinder,INR,"1,657,606",Finance,Financial_Evaluation,Virender Kumar,07-Mar-2019 03:53 PM,finance_39108.pdf,BOQ Comparative Chart,Technical,Summary,Virender Kumar,04-Mar-2019 12:42 PM,technical_39108.pdf,1.0,115381.0,Kulvinder,25-Feb-2019 10:36 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,21-May-2019 10:48 AM,AOC,Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,PWD,Periodical Maintenance of Chuhla To Phangair,2019_PWD_27458_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,20-Feb-2019 10:00 AM,27-Feb-2019 11:00 AM,20-Feb-2019 10:30 AM,26-Feb-2019 05:00 PM,NA ,NA ,20-Feb-2019 10:30 AM,26-Feb-2019 05:00 PM,05-Mar-2019 11:00 AM,500.0,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,Yes,"25,400",Yes,fixed,,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,Periodical Maintenance Of Road From Chuhla To Phangair Road (Extention Daroh Garh Jamula Up To Bair Ghatta Road) under AMP 2019-20,Providing And Laying 25mm Thick Bitumen Concrete i/c Profile Correction Laying With Paver Finisher In Km 9/100 to 10/0 and 10/0 to 11/00,Please refer Tender documents. ,NA ,"12,65,819",Civil Works - Roads,NA ,Tender,120.0,30.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115276.0,Sanjeev,25-Feb-2019 04:52 PM,Rejected-Technical,Non Responsive,04-Mar-2019 12:45 PM,AOC,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax/Vat/TIN/GST/PAN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,115569.0,VINOD KUMAR,26-Feb-2019 01:01 PM,Rejected-AOC,Rejected due to higher rates bidder L2,21-May-2019 10:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tax clearance certificate (TCC) issued from the Excise and Taxation Deptt.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E-mail addreses and Mobile Number,AOC
