Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
The Executive Engineer,Internal,All the members of tender committee,Prakash Chand Negi,15-May-2019 04:07 PM,finsummary_23617.pdf (282.82 KB),15-May-2019,"INR 13,107,144",730.0,Prakash Chand Negi,15-May-2019 04:11 PM,pdf.pdf (397.00 KB),AOC,PWD,2017_PWD_17409_1,2345-47 dated 06.07.2017,Construction of office cum residential building for Assistant Director Animal Husbandry Kaza at Spiti SH Construction of building portion including WS and SI,Er Virender Kumar,Internal,Shri Pappu Kumar TA Sh Amar Singh HDM,Virender Kumar,14-Sep-2017 11:12 AM,14-Sep-2017 11:15 AM,techsummary_23617.pdf (97.62 KB),1.0,66058.0,GULAB SINGH,INR,"13,107,144",Finance,All the documents downloaded successfully,Prakash Chand Negi,15-May-2019 03:51 PM,finance_23617.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Virender Kumar,14-Sep-2017 11:10 AM,technical_23617.pdf,1.0,66058.0,GULAB SINGH,21-Aug-2017 09:49 AM,Accepted-AOC,work awarded to lowest Contractor,15-May-2019 04:11 PM,AOC,PWD,2345-47 dated 06.07.2017,2017_PWD_17409_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Spiti Division HPPWD Kaza Distt Lahaul and Spiti HP,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"5,000",EE Kaza,Kaza,Yes,Construction of office cum residential building for Assistant Director Animal Husbandry Kaza at Spiti SH Construction of building portion including WS and SI,Construction of office cum residential building for Assistant Director Animal Husbandry Kaza at Spiti SH Construction of building portion including WS and SI,Please refer Tender documents. ,NA ,"81,14,102",Civil Works - Buildings,NA ,Tender,90.0,730.0,Kaza,172117.0,NA ,NA ,NA ,Spiti Division at Kaza,No ,No,1.0,DD - Demand Draft,24-Jul-2017 09:00 AM,21-Aug-2017 11:00 AM,24-Jul-2017 09:00 AM,21-Aug-2017 10:30 AM,NA ,NA ,24-Jul-2017 09:00 AM,21-Aug-2017 10:30 AM,14-Sep-2017 11:15 AM,"1,13,700",No,fixed,,EE Kaza,Kaza,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,65765.0,Nawang Chhering,15-Aug-2017 03:47 PM,Rejected-AOC,Due to 2nd lowest,15-May-2019 04:11 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
