Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
02-May-2019,"INR 8,799,350",365.0,Prem Pal Sharma,02-May-2019 01:16 PM,aoc190973.pdf (773.00 KB),work awarded to the contractor,Er Rakesh Thakur,Internal,HDM DAO Supdt,Prem Pal Sharma,02-May-2019 09:18 AM,finsummary_26214.pdf (343.44 KB),Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,28-Feb-2018 12:56 PM,28-Feb-2018 01:00 PM,techsummary_26214.pdf (331.39 KB),PWD,2018_PWD_19097_3,PW.JD/E-Tender/2017-18- 12111-13 DT.23.12.17,"Construction of Girls Sports Hostel building at Govt. Serior Secnondary school Jubbal in Tehsil Jubbal District Shimla HP ( SH- C/O building portion , W.S. and S.I. works and site developments.)",Finance,Chetan is the lowest one,Prem Pal Sharma,02-May-2019 09:17 AM,finance_26214.pdf,BOQ Comparative Chart,1.0,74807.0,Chaten Chauhan,INR,"8,799,350",Technical,Technical Bid Opening Summary,Manoj Bhardwaj,28-Feb-2018 12:50 PM,technical_26214.pdf,1.0,74563.0,Atul Vohra,22-Jan-2018 04:30 PM,Rejected-AOC,l2,02-May-2019 01:16 PM,AOC,10-Jan-2018 11:00 AM,29-Jan-2018 11:00 AM,10-Jan-2018 11:30 AM,27-Jan-2018 06:00 PM,NA ,NA ,10-Jan-2018 11:30 AM,27-Jan-2018 06:00 PM,28-Feb-2018 01:00 PM,PWD,PW.JD/E-Tender/2017-18- 12111-13 DT.23.12.17,2018_PWD_19097_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer Jubbal,HPPWD JUBBAL,"Construction of Girls Sports Hostel building at Govt. Serior Secnondary school Jubbal in Tehsil Jubbal District Shimla HP ( SH- C/O building portion , W.S. and S.I. works and site developments.)","SH C/O building portion , W.S. and S.I. works and site developments",Please refer Tender documents. ,NA ,"65,48,253",Civil Works - Buildings,NA ,Tender,120.0,365.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,"1,00,000",No,fixed,,EE Jubbal,Jubbal,"2,000",EE Jubbal,Jubbal,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,74807.0,Chaten Chauhan,24-Jan-2018 03:46 PM,Accepted-AOC,awarded after negotation,02-May-2019 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,74979.0,Rakesh Negi,27-Jan-2018 02:23 PM,Rejected-Technical,Non-Responsive,28-Feb-2018 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),AOC
