Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
Technical,All documents are found correct by the bidder in Technical Opening.,Mahesh Rana,10-Sep-2018 05:04 PM,None,1.0,94127.0,Kamlesh Kumar Negi,10-Sep-2018 10:25 AM,Accepted-AOC,Award dt. 08.01.2019,25-May-2019 11:47 AM,1.0,94127.0,Kamlesh Kumar Negi,INR,"1,070,728",Finance,Admitted,Mahesh Rana,12-Sep-2018 11:38 AM,None,BOQ Comparative Chart,Executive Engineer,Internal,,Arvind Lakhanpal,25-May-2019 11:45 AM,finsummary_32624.pdf (1432.19 KB),25-May-2019,"INR 1,070,728",30.0,Arvind Lakhanpal,25-May-2019 11:47 AM,23311.PDF (1432.00 KB),PWD,2018_PWD_23311_1,PW-SKT-CB-Tender/2018-6880-82 dt. 13.08.2018,"Periodic maintenance on Banoha, Mataur Tanda road km. 0/0 to 8/0",Executive Engineer,Internal,"Assistant Engineer Sarkaghat, HDM, Supdt. Gr.-II, Divisional Accountant",Mahesh Rana,11-Sep-2018 06:59 PM,12-Sep-2018 10:00 AM,techsummary_32624.pdf (1310.36 KB),AOC,"Periodic maintenance on Banoha, Mataur Tanda road km. 0/0 to 8/0",(SH- Providing and laying 25mm thick bituminous concrete including profile correction in km. 6/0 to 7/0) for the year 2018-19 DRRP No. HP0807VR0069.,Please refer Tender documents. ,NA ,"8,12,785",Civil Works - Roads,NA ,Tender,90.0,30.0,SARKAGHAT,175024.0,SARKAGHAT ,"EXECUTIVE ENGINEER, SARKAGHAT DIVISION, HPPWD, SARKAGHAT  ",05-Sep-2018 03:55 PM ,SARKAGHAT,No ,No,PWD,PW-SKT-CB-Tender/2018-6880-82 dt. 13.08.2018,2018_PWD_23311_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,350.0,EE Sarkaghat,Sarkaghat,No,"16,300",No,fixed,,EE Sarkaghat,Sarkaghat,EXECUTIVE ENGINEER,"EXECUTIVE ENGINEER, SARKAGHAT DIVISION, HPPWD, SARKAGHAT",05-Sep-2018 03:55 PM,10-Sep-2018 04:00 PM,05-Sep-2018 03:55 PM,10-Sep-2018 03:55 PM,05-Sep-2018 03:55 PM ,10-Sep-2018 03:55 PM ,05-Sep-2018 03:55 PM,10-Sep-2018 03:55 PM,12-Sep-2018 10:00 AM,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
