Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. Kamal Singh Pal,Internal,,Kamal Singh Pal,20-Apr-2019 01:25 PM,finsummary_38123.pdf (19.65 KB),03-May-2019,"INR 6,645,920",180.0,Kamal Singh Pal,03-May-2019 01:27 PM,19.pdf (198.00 KB),AOC,PWD,2019_PWD_26816_5,PW.CHD.CB-E-9/2018 12846- 12945 DT 10.01.19,Periodical maintance of NERWA TO KHARACHALI road km 0/0 to 15/0,Er K S pal,Internal,EE Suptt Accountant HDM tender clerk,Yogesh Sharma,26-Feb-2019 03:42 PM,26-Feb-2019 03:50 PM,techsummary_38123.pdf (398.52 KB),Technical,Bid Opening Bid,Yogesh Sharma,26-Feb-2019 02:47 PM,technical_38123.pdf,1.0,112436.0,Lok Pal Rathour,13-Feb-2019 11:50 AM,Rejected-Finance,L-2,20-Apr-2019 01:25 PM,Finance,Bid Opening Summary,Kamal Singh Pal,20-Apr-2019 01:24 PM,finance_38123.pdf,BOQ Comparative Chart,1.0,112343.0,Uttej Rathour,INR,"6,645,920",AOC,EE Chopal,HPPWD CHOPAL,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW.CHD.CB-E-9/2018 12846- 12945 DT 10.01.19,2019_PWD_26816_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical maintance of NERWA TO KHARACHALI road km 0/0 to 15/0,SH Providing and laying renewal coat between km Rd. 0/0 to 4/0 under PMGSY.,Please refer Tender documents. ,NA ,"38,17,115",Civil Works - Roads,NA ,Tender,120.0,180.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"64,800",No,fixed,,EE Chopal,Chopal,1.0,DD - Demand Draft,06-Feb-2019 01:00 PM,14-Feb-2019 11:30 AM,06-Feb-2019 01:00 PM,13-Feb-2019 05:00 PM,NA ,NA ,06-Feb-2019 01:00 PM,13-Feb-2019 05:00 PM,26-Feb-2019 03:50 PM,"2,000",EE Chopal,Chopal,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112343.0,Uttej Rathour,12-Feb-2019 05:42 PM,Accepted-AOC,L-1,03-May-2019 01:27 PM,,,,,,,,,,,,AOC,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
