S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"2,92,222",No,fixed,,EO MC KULLU,MC KULLU,500.0,EO MC KULLU,MC KULLU,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,MCK/TEND/19/53,2019_UDDHP_26756_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,06-Feb-2019 05:25 PM,20-Feb-2019 04:00 PM,06-Feb-2019 05:25 PM,20-Feb-2019 03:00 PM,06-Feb-2019 05:25 PM ,12-Feb-2019 03:00 PM ,06-Feb-2019 05:25 PM,20-Feb-2019 03:00 PM,26-Feb-2019 11:45 AM,"DEVELOPMENT OF PARKING AT RAMSHILLA,KULLU","DEVELOPMENT OF PARKING AT RAMSHILLA,KULLU",Please refer Tender documents. ,NA ,"1,46,11,083",Civil Works,NA ,Tender,180.0,NA ,KULLU,175101.0,M.C. Kullu ,M.C. KULLU. ,12-Feb-2019 03:00 PM ,"Municipal Council Office,Kullu",No ,No,EO MC KULLU,"EXECUTIVE OFFICER,Municipal Council Office,Kullu",1.0,Fee/PreQual/Technical,.pdf,ITB,AOC,Vice President Gopal Kishan Mahant,Internal,Vice President Gopal Kishan Mahant EO MC Kullu JE MC Kullu,Sachin Thakur,23-May-2019 04:58 PM,finsummary_38023.pdf (195.58 KB),1.0,113549.0,AMIT SETH CONTRACTOR,INR,"21,086,036",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,2019_UDDHP_26756_1,MCK/TEND/19/53,"DEVELOPMENT OF PARKING AT RAMSHILLA,KULLU",Finance,Technically and Financially bid accepted,Sachin Thakur,23-May-2019 04:19 PM,finance_38023.pdf,BOQ Comparative Chart,Technical,Bid No. 113549 Technically accepted.,Sachin Thakur,26-Feb-2019 11:35 AM,technical_38023.pdf,24-May-2019,"INR 21,086,036",360.0,Sachin Thakur,24-May-2019 10:47 AM,RamshilaParking.pdf (646.00 KB),Contract Awarded,Gopal Kishan Mahant,Internal,VICE PRESIDENT GOPAL KRISHAN MAHANT EO TEJ SINGH THAKUR JE JIWANAND,Sachin Thakur,26-Feb-2019 11:37 AM,26-Feb-2019 11:45 AM,techsummary_38023.pdf (101.68 KB),1.0,113549.0,AMIT SETH CONTRACTOR,19-Feb-2019 04:37 PM,Accepted-AOC,L1,24-May-2019 10:47 AM,AOC
2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T.S,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER DRAWING,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER NOTICE,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,Financial Details ,P/ L and Balance Sheet 2008-2009 ,P/ L and Balance Sheet 2008-2009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,Financial Details ,P/ L and Balance Sheet 2009-2010 ,P/ L and Balance Sheet 2009-2010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,Financial Details ,P/L and Balance Sheet 2010-2011 ,P/L and Balance Sheet 2010-2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
