Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
22-May-2019,"INR 5,043,885",180.0,Mohd. Arshad Rehman,22-May-2019 04:48 PM,Award.pdf (188.00 KB),work awarded,Technical,Technical Bid openng summary,Mandeep Gupta,09-Oct-2018 01:07 PM,None,Finance,Finanacial Bid Opening Summary,Mandeep Gupta,09-Oct-2018 02:50 PM,finance_32754.pdf,BOQ Comparative Chart,1.0,95971.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,28-Sep-2018 02:23 PM,Rejected-Finance,Rejected,22-May-2019 04:38 PM,Mohd. Arshad Rehmaan,Internal,suptt HDM DAO Tender Assistant,Mohd. Arshad Rehman,09-Oct-2018 01:47 PM,09-Oct-2018 01:50 PM,techsummary_32754.pdf (59.12 KB),1.0,96149.0,HYDRAULIC ENGINEERING COMPANY,INR,"5,043,885","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2018_HPIPH_23416_1,3656-3756 dt. 07.09.2018,C/O LIS to village Bhalag Bharan in GP Kathli Bharan in Tehsil Rajgarh Distt. Sirmour,Superintending Engineer,Internal,EE Nahan EE Nohradhar AE IPH Circle Nahan CHD Suptd,Mohd. Arshad Rehman,22-May-2019 04:38 PM,finsummary_32754.pdf (2117.58 KB),AOC,C/O LIS to village Bhalag Bharan in GP Kathli Bharan in Tehsil Rajgarh Distt. Sirmour,"SH Supplying and Erection of Centrifugal Pumping Machinery with allied accessories , Providing and Laying of MSERW pipe and laying of GMS pipe line in Rising Main for1st and 2nd stage).",Please refer Tender documents. ,NA ,"29,49,362",Civil Works,NA ,Rate Contract,120.0,180.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,400.0,EE Nohradhar,Nohradhar,Yes,10-Sep-2018 05:00 PM,01-Oct-2018 11:00 AM,10-Sep-2018 05:00 PM,29-Sep-2018 09:00 AM,NA ,NA ,10-Sep-2018 05:00 PM,29-Sep-2018 09:00 AM,09-Oct-2018 01:50 PM,1.0,DD - Demand Draft,Er. Mohd. Arshad Rehmann,Executive Engineer IPH Division Nohradhar,1.0,Fee/PreQual/Technical,.pdf,Income Tax and GST as applicable,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",3656-3756 dt. 07.09.2018,2018_HPIPH_23416_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"51,750",Yes,fixed,,EE Nohradhar,Nohradhar,AOC
,,,,,,,,,,,,,,,,,,2.0,96149.0,HYDRAULIC ENGINEERING COMPANY,28-Sep-2018 09:12 PM,Accepted-AOC,Accepted,22-May-2019 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,96178.0,M/S Sharma Enterpirses,29-Sep-2018 07:57 AM,Rejected-Finance,Rejected,22-May-2019 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,.pdf,DSC,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4.0,95661.0,Sai Aqua Machines and Builders,29-Sep-2018 07:09 AM,Rejected-Finance,Rejected,22-May-2019 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5.0,96042.0,shiv iron general engineers,28-Sep-2018 08:18 PM,Rejected-Finance,Rejected,22-May-2019 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration Certificate,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Curve Chart make and model of P/M,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully studies all term and conditions,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
