Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
03-May-2019,"INR 3,539,515",90.0,J.C. Kango,03-May-2019 11:39 AM,3AA.pdf (281.00 KB),AOC,Er.J C Kanungo,Internal,,J.C. Kango,03-May-2019 11:38 AM,finsummary_23823.pdf (20.70 KB),Er.J.C.Kango,Internal,,Manoj Bhardwaj,14-Sep-2017 04:00 PM,14-Sep-2017 04:05 PM,techsummary_23823.pdf (146.61 KB),PWD,2017_PWD_17589_1,PW.CHD.CB-E-9/ 2017 3427-3528 Dt 25.07.17,C/o Batera to Kandal Road Km 0/0 to 10/405,Technical,Technical Bid Opening Summary,Manoj Bhardwaj,14-Sep-2017 03:58 PM,technical_23823.pdf,1.0,66616.0,Basant Singh,28-Aug-2017 01:26 PM,Rejected-Finance,L-3,03-May-2019 11:38 AM,Finance,Bid Opening Summary,J.C. Kango,03-May-2019 11:36 AM,finance_23823.pdf,BOQ Comparative Chart,1.0,66484.0,Khyali Ram,INR,"3,539,515",AOC,C/o Batera to Kandal Road Km 0/0 to 10/405,"SH P/L M/T, X-Drainage Works,R/Walls,B/Walls,V-Shape Drain,Parapets,Road furnitures,etc Under MMGPY",Please refer Tender documents. ,NA ,"31,22,307",Civil Works - Roads,NA ,Tender,120.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"64,000",No,fixed,,EE Chopal,Chopal,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"1,500",EE Chopal,Chopal,No,EE Chopal,HPPWD Chopal,PWD,PW.CHD.CB-E-9/ 2017 3427-3528 Dt 25.07.17,2017_PWD_17589_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,08-Aug-2017 12:00 PM,30-Aug-2017 11:00 AM,08-Aug-2017 12:00 PM,28-Aug-2017 05:30 PM,NA ,NA ,08-Aug-2017 12:00 PM,28-Aug-2017 05:30 PM,14-Sep-2017 04:05 PM,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,66542.0,Dinesh kumar Chauhan,28-Aug-2017 05:03 PM,Rejected-Finance,L-2,03-May-2019 11:38 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,66617.0,Happinder Sood,28-Aug-2017 01:22 PM,Rejected-Finance,L-4,03-May-2019 11:38 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,66484.0,Khyali Ram,25-Aug-2017 01:13 PM,Accepted-AOC,L-1,03-May-2019 11:39 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration/GST registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant (Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
