Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
23-May-2019,"INR 3,933,694.8",30.0,Naresh Raj Chandel,23-May-2019 12:53 PM,AOC.pdf (4672.00 KB),AOC issued after negotiation.,SE 1st Circle Mandi,Internal,EE(D) 1st Circle EE SNR CHD Supdt Works,Naresh Raj Chandel,23-May-2019 12:50 PM,finsummary_29754.pdf (207.76 KB),Er D R Chauhan,Internal,Er D R Chauhan Chairman Er N R Chandel Sh Sushil Kumar Member Sh Dinesh Kumar Member Smt Girja Sharma Member,Devi Ram Chauhan,24-May-2018 02:38 PM,24-May-2018 03:15 PM,techsummary_29754.pdf (191.22 KB),PWD,2018_PWD_21053_1,PW-SNR-CB-E-Te/GR/18-734-40 dt. 13-4-18,Annual surfacing on NH Dhanotu to Rohanganoo road,Technical,Bid opening summary,Devi Ram Chauhan,24-May-2018 02:22 PM,technical_29754.pdf,1.0,84652.0,"Prem Lal, govt. Contractor",20-May-2018 11:53 AM,Rejected-AOC,Being L-2,23-May-2019 12:53 PM,1.0,84560.0,S.A ASSOCIATE,INR,"3,849,789",Finance,fbos,Naresh Raj Chandel,11-Oct-2018 01:13 PM,finance_29754.pdf,BOQ Comparative Chart,AOC,Annual surfacing on NH Dhanotu to Rohanganoo road,SH Providing and laying 25mm thick bituminous concrete including profile correction in km 22/0 to 23/0 and 25/0 to 27/0 and 28/0 to 29/0,As per tender documents ,NA ,"30,51,468",Civil Works,NA ,Tender,120.0,30.0,Sunder Nagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,"53,500",No,fixed,,E.E. Sunder Nagar Division HPPWD,In Sunder Nagar Division HPPWD,05-May-2018 04:20 PM,21-May-2018 11:30 AM,05-May-2018 05:00 PM,21-May-2018 09:30 AM,05-May-2018 05:00 PM ,19-May-2018 05:00 PM ,05-May-2018 05:00 PM,21-May-2018 09:30 AM,24-May-2018 03:15 PM,E.E. Sunder Nagar Division HPPWD,O/O Executive Engineer Sunder Nagar Division HPPWD,PWD,PW-SNR-CB-E-Te/GR/18-734-40 dt. 13-4-18,2018_PWD_21053_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"1,500",E.E. Sunder Nagar Division HPPWD,In Sunder Nagar Division HPPWD,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,84560.0,S.A ASSOCIATE,20-May-2018 11:03 AM,Accepted-AOC,Being lowest,23-May-2019 12:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,AOC
