Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,EE Dehra letter No. 14100-49 dt 29.01.2019,2019_PWD_26715_35,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Dehra Division HPPWD Dehra,1.0,DD - Demand Draft,Periodic Renewal on Kutiara to Trimblu Road for the year 2019-20 under village roads,Providing and Laying 25mm thick Bituminous concrete with paver finisher in Km 4/0 to 6/0 and 10/0 to 11/0).,Please refer to tender documents ,NA ,"21,04,052",Civil Works - Roads,NA ,Tender,120.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,07-Feb-2019 10:00 AM,22-Feb-2019 11:30 AM,07-Feb-2019 10:00 AM,21-Feb-2019 06:00 PM,NA ,NA ,07-Feb-2019 10:00 AM,21-Feb-2019 06:00 PM,05-Mar-2019 11:30 AM,500.0,EE Dehra,Dehra,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"39,100",No,fixed,,EE Dehra,Dehra,AOC,1.0,114094.0,Rajinder Rana,INR,"2,473,476",24-May-2019,"INR 2,104,052",30.0,Hem Raj,24-May-2019 08:34 PM,Kutiara-to-Trimblu-26715_35.pdf (947.00 KB),Award Letter,PWD,2019_PWD_26715_35,EE Dehra letter No. 14100-49 dt 29.01.2019,Periodic Renewal on Kutiara to Trimblu Road for the year 2019-20 under village roads,Er. G. S. Rana EE,Internal,"Hem Raj AE to EE, Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Hem Raj,24-May-2019 06:56 PM,finsummary_38161.pdf (919.89 KB),Finance,Financial bid opened,Hem Raj,23-May-2019 10:49 PM,finance_38161.pdf,BOQ Comparative Chart,1.0,114073.0,Parbhat Singh,20-Feb-2019 10:22 PM,Rejected-Finance,Being L2,24-May-2019 06:56 PM,Er. G. S. Rana,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Gurcharan Singh Rana,02-Mar-2019 09:50 PM,05-Mar-2019 11:30 AM,techsummary_38161.pdf (919.75 KB),Technical,Technical bid opened on 22.02.2019,Gurcharan Singh Rana,02-Mar-2019 08:46 PM,technical_38161.pdf,AOC
,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114094.0,Rajinder Rana,21-Feb-2019 12:40 AM,Accepted-AOC,Being L1,24-May-2019 08:34 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration (TIN No.)(General Rule No.21),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952(As per General Rule No. 25(A),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
