S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,DD - Demand Draft,250.0,Executive Engineer IPH Division Thural,Executive Engineer IPH Division Thural,No,"C,O LIS Noura in Tehsil Palampur District Kangra HP SH, Supply and errection of centrifugal pumping machinery with allied accessories","C,O LIS Noura in Tehsil Palampur District Kangra HP SH, Supply and errection of centrifugal pumping machinery with allied accessories",Please refer Tender documents. ,NA ,"6,75,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,90.0,"C,O LIS Noura in Tehsil Palampur District Kangra H",176107.0,NA ,NA ,NA ,O/O The Executive Engineer IPH Division Thural,No ,No,1.0,Fee/PreQual/Technical,.pdf,"i) Earnest money only in the shape of small saving instruments, bankers cheque, demand draft or fixe",27-Sep-2018 05:00 PM,18-Oct-2018 11:30 AM,27-Sep-2018 05:00 PM,17-Oct-2018 05:00 PM,NA ,NA ,27-Sep-2018 05:00 PM,17-Oct-2018 05:00 PM,22-Oct-2018 03:30 PM,"13,500",Yes,fixed,,Executive Engineer IPH Division Thural,Executive Engineer IPH Division Thural,Executive Engineer IPH Division Thural,O/O The Executive Engineer IPH Division Thural,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",8303-38 dated 26.09.2018,2018_HPIPH_23822_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Executive Engineer,Internal,"TenderAsst,Supdtt,HDM,DAO,AEtoEE",Suresh Mahajan,22-Oct-2018 03:25 PM,22-Oct-2018 03:30 PM,techsummary_33307.pdf (147.28 KB),1.0,97670.0,competent associates,12-Oct-2018 06:12 PM,Accepted-AOC,L1,29-May-2019 11:40 AM,Finance,BOQ downloaded sucessfully summary attached,Suresh Mahajan,22-Oct-2018 03:59 PM,finance_33307.pdf,BOQ Comparative Chart,Technical,Three Nos contractor/Firms bids downlaoded sucessafully summary attached,Suresh Mahajan,22-Oct-2018 03:22 PM,technical_33307.pdf,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2018_HPIPH_23822_1,8303-38 dated 26.09.2018,"C,O LIS Noura in Tehsil Palampur District Kangra HP SH, Supply and errection of centrifugal pumping machinery with allied accessories",AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ii) Cost of tender form in the shape of Demand Draft work No. 1 of Rs.400/-. work No. 2 of Rs.250/-.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,98047.0,RAJESH ENGINEERING SERVICES,17-Oct-2018 04:53 PM,Rejected-AOC,L3,29-May-2019 11:40 AM,,,,,,,,,,,,,,,,AOC
3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,iii) Certificate of Registration with IPH Department in appropriate class and latest renewal thereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,98019.0,SS ENGINEERING WORKS,17-Oct-2018 11:47 AM,Rejected-AOC,L2,29-May-2019 11:40 AM,,,,,,,,,,,,,,,,AOC
4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,iv) Income Tax Sales TaxGST registration and latest clearance certificate thereof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,v) The list of works of the similar nature executed by the intending contractors/Firms along with p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,vii) Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,viii) Copy of GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
