EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"68,903",Yes,fixed,,Executive Engineer,IPH Division No II Una,1.0,Fee/PreQual/Technical,.pdf,Earnest money or EMD exemption certificate if exempted and affidavit of non exhaustion in case of ex,18-May-2018 05:00 PM,08-Jun-2018 11:30 AM,18-May-2018 05:05 PM,07-Jun-2018 05:00 PM,18-May-2018 05:05 PM ,07-Jun-2018 05:00 PM ,18-May-2018 05:05 PM,07-Jun-2018 05:00 PM,12-Jun-2018 03:45 PM,Construction of 12 Nos Twell in Village Loharli III Kuthera Jaswalan I Kuthera Jaswalan II Badehra Rajputan Guglehar I Guglehar I Jadla I and Mawa Sindhian I in Tehsil Amb Ghanari Distt Una HP,Providing and Laying of Rising Main Supply and Errection of Pumping Machinery Providing and Laying of distribution system and Construction of Civil Work for Twell at Guglehar II Near Satsang Ghar,Please refer Tender documents. ,NA ,"40,93,514",Civil Works,NA ,Tender,120.0,180.0,Una,174303.0,NA ,NA ,NA ,IPH Division No II Una,No ,No,Executive Engineer,IPH DIvision No II Una,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-II,Irrigation and Public Health,HP",IPH/Tender/2017-18-2736-2836 dt 18-05-18,2018_HPIPH_21210_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,SS - Small Savings Instrument,800.0,Executive Engineer,IPH Division No II Una,No,AOC,Finance,Summary,Rajesh Kumar Kanunugo,12-Jun-2018 03:58 PM,finance_29947.pdf,BOQ Comparative Chart,Technical,Summary,Arvind Sood,12-Jun-2018 03:39 PM,technical_29947.pdf,30-May-2019,"INR 4,605,668",180.0,Arvind Sood,30-May-2019 04:39 PM,Letter2.pdf (74.00 KB),--,EE No 2 Una,Internal,"Suptd, HDM, DAO",Arvind Sood,12-Jun-2018 03:43 PM,12-Jun-2018 03:45 PM,techsummary_29947.pdf (53.59 KB),1.0,85887.0,M/s Thakur Constructions,07-Jun-2018 04:36 PM,Rejected-AOC,6,30-May-2019 04:39 PM,Executive Engineer,Internal,Sudt. HDM Sr.ADO Executive Engineer,Arvind Sood,30-May-2019 04:36 PM,finsummary_29947.pdf (27.29 KB),1.0,85858.0,Vivek Dhiman,INR,"4,605,668","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-II,Irrigation and Public Health,HP",2018_HPIPH_21210_1,IPH/Tender/2017-18-2736-2836 dt 18-05-18,Construction of 12 Nos Twell in Village Loharli III Kuthera Jaswalan I Kuthera Jaswalan II Badehra Rajputan Guglehar I Guglehar I Jadla I and Mawa Sindhian I in Tehsil Amb Ghanari Distt Una HP,AOC
,,,,,,,,.pdf,Scanned copies of Cost of Tender Form in the shape of Demand Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,85867.0,Pawan Kumar Sharma Govt Contractor,07-Jun-2018 02:34 PM,Rejected-AOC,4,30-May-2019 04:39 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Scanned certificate of Registration in IPH Deptt in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,85880.0,Ravinder Kumar Sahore,07-Jun-2018 03:18 PM,Rejected-AOC,3,30-May-2019 04:39 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Latest Income Tax certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,85856.0,Shashank Jagota Govt. Contractor,07-Jun-2018 01:03 PM,Rejected-AOC,2,30-May-2019 04:39 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Similar types of work done certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,85849.0,SHIV KANT PRASHAR,07-Jun-2018 02:00 PM,Rejected-AOC,5,30-May-2019 04:39 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,85858.0,Vivek Dhiman,07-Jun-2018 03:02 PM,Accepted-AOC,L1,30-May-2019 04:39 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Scanned copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Undertaking regarding does not have more than two incomplete work of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Curve Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,Schedule of Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
