EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"19,600",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,350.0,EE Paonta Sahib,Paonta Sahib,Yes,Executive Engineer,Executive Engineer PWD Paonta Sahib,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,14-Feb-2019 06:00 PM,25-Feb-2019 11:30 AM,14-Feb-2019 06:00 PM,25-Feb-2019 10:00 AM,NA ,NA ,14-Feb-2019 06:00 PM,25-Feb-2019 10:00 AM,02-Mar-2019 03:50 PM,PWD,CB/Tender/2018-19-12256-12305 dt 24.01.2019,2019_PWD_27232_18,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Periodical renewal on Link road km 95/00 of NH 07 to Santokhgarh road SH Providing laying and rolling of open-graded premix carpet of 20 mm thickness including repair of pot holes and profile correction in km 0/0 to 0/630 under AMP Villag,Periodical renewal on Link road km 95/00 of NH 07 to Santokhgarh road SH Providing laying and rolling of open-graded premix carpet of 20 mm thickness including repair of pot holes and profile correction in km 0/0 to 0/630 under AMP Villag,As per Tender document ,NA ,"9,77,965",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,AOC,1.0,114524.0,Manoj Chawla,INR,"1,104,156",23-May-2019,"INR 977,965",90.0,Ajay Kumar Sharma,23-May-2019 01:10 PM,aoc.pdf (767.00 KB),AOC,PWD,2019_PWD_27232_18,CB/Tender/2018-19-12256-12305 dt 24.01.2019,Periodical renewal on Link road km 95/00 of NH 07 to Santokhgarh road SH Providing laying and rolling of open-graded premix carpet of 20 mm thickness including repair of pot holes and profile correction in km 0/0 to 0/630 under AMP Villag,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,23-May-2019 01:09 PM,finsummary_38903.pdf (281.97 KB),Finance,Summary,Ajay Kumar Sharma,23-May-2019 01:06 PM,finance_38903.pdf,BOQ Comparative Chart,1.0,114893.0,Anil Kumar,23-Feb-2019 05:29 PM,Rejected-Technical,Not Qualified,02-Mar-2019 03:40 PM,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Dalip Singh Tomar,02-Mar-2019 03:40 PM,02-Mar-2019 03:50 PM,techsummary_38903.pdf (685.67 KB),Technical,Bid Opening Summary,Dalip Singh Tomar,02-Mar-2019 03:38 PM,technical_38903.pdf,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114524.0,Manoj Chawla,24-Feb-2019 09:19 AM,Accepted-AOC,L1,23-May-2019 01:10 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,114848.0,rakesh kumar,23-Feb-2019 02:32 PM,Rejected-Technical,Not qualified,02-Mar-2019 03:40 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
