S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,Restoration of rain damages on PinjoreBaddiNalagarhSwarghat road on NH 21A New NH 105 from Km 17.400 to 66.275 SH C.O Downstream toe wall 32.30 metre of Reru Bridge at Rds. 40.820 and Mahadev Bridge 35.30 metre at Rds. 43.780,Restoration of rain damages on PinjoreBaddiNalagarhSwarghat road on NH 21A New NH 105 from Km 17.400 to 66.275 SH C.O Downstream toe wall 32.30 metre of Reru Bridge at Rds. 40.820 and Mahadev Bridge 35.30 metre at Rds. 43.780,Please refer Tender documents. ,NA ,"43,46,968",Civil Works - Bridges,NA ,Tender,120.0,180.0,Nalagarh,173223.0,NA ,NA ,NA ,NH Division HPPWD Solan,No ,No,"73,000",No,fixed,,EE NH Division HPPWD Solan,Solan,EE NH Division HPPWD Solan,EE NH Division HPPWD Solan,PWD,15574-624,2018_PWD_20370_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD,"2,000",EE NH Division HPPWD Solan,Solan,No,24-Mar-2018 04:35 PM,16-Apr-2018 03:00 PM,24-Mar-2018 04:40 PM,16-Apr-2018 10:00 AM,NA ,NA ,24-Mar-2018 05:00 PM,16-Apr-2018 10:00 AM,19-Apr-2018 02:00 PM,AOC,EWr Arvibd Kumar EE NH,Internal,Sh Rajinder SIngh Supdt Sh Ghanshyam Mehta DHD,Arvind Kumar,19-Apr-2018 01:42 PM,19-Apr-2018 02:00 PM,techsummary_28862.pdf (54.05 KB),PWD,2018_PWD_20370_1,15574-624,Restoration of rain damages on PinjoreBaddiNalagarhSwarghat road on NH 21A New NH 105 from Km 17.400 to 66.275 SH C.O Downstream toe wall 32.30 metre of Reru Bridge at Rds. 40.820 and Mahadev Bridge 35.30 metre at Rds. 43.780,22-May-2019,"INR 2,313,819",180.0,Arvind Kumar,22-May-2019 12:57 PM,Award.pdf (394.00 KB),Award,Executive Engineer,Internal,Exen Sr DAO HDM Supdt,Arvind Kumar,22-May-2019 12:23 PM,finsummary_28862.pdf (417.05 KB),1.0,82226.0,Gurmeet Singh,15-Apr-2018 10:37 PM,Rejected-Technical,Not eligible class as per Rule 2015,19-Apr-2018 01:42 PM,Technical,Techical bid opening summery,Arvind Kumar,19-Apr-2018 01:37 PM,technical_28862.pdf,Finance,Financial BOQ,Arvind Kumar,22-May-2019 12:09 PM,None,BOQ Comparative Chart,1.0,82206.0,Vinay Thakur,INR,"2,313,819",AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fee,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,82091.0,M/S Jaswant Rai Verma,13-Apr-2018 04:12 PM,Rejected-Technical,Not eligible class as per Rule 2015,19-Apr-2018 01:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Constractor registration,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,81121.0,SUSHIL CHANDEL,04-Apr-2018 06:53 PM,Rejected-Finance,L2,22-May-2019 12:23 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EFP registration,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,82206.0,Vinay Thakur,15-Apr-2018 03:35 PM,Accepted-AOC,L1,22-May-2019 12:57 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work in hand,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,list of work for which bid already submitted,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,True information,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
