Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,22-May-2019 10:26 PM,finsummary_27448.pdf (651.99 KB),22-May-2019,"INR 17,344,901",365.0,Dev Raj,22-May-2019 10:32 PM,19598F.pdf (1526.00 KB),Award,PWD,2018_PWD_19598_1,C/O link road Dhail to Naglamber Km0/0 to 3/450,C/O link road Dhail to Naglamber Km0/0 to 3/450,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Narinder Paul Singh Chauhan,16-Mar-2018 01:37 PM,16-Mar-2018 03:30 PM,techsummary_27448.pdf (188.98 KB),Technical,Attached,Narinder Paul Singh Chauhan,16-Mar-2018 01:34 PM,technical_27448.pdf,1.0,77814.0,Kumar Associates,27-Feb-2018 08:27 PM,Rejected-AOC,l2,22-May-2019 10:32 PM,Finance,Attached,Santosh Kumar Katoch,29-Apr-2019 01:24 PM,finance_27448.pdf,BOQ Comparative Chart,1.0,77799.0,Satish Kapil,INR,"17,344,901",AOC,"2,38,700",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,DD - Demand Draft,PWD,C/O link road Dhail to Naglamber Km0/0 to 3/450,2018_PWD_19598_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,19-Feb-2018 10:30 AM,28-Feb-2018 03:00 PM,19-Feb-2018 10:30 AM,28-Feb-2018 10:30 AM,NA ,NA ,19-Feb-2018 10:30 AM,28-Feb-2018 10:30 AM,16-Mar-2018 03:30 PM,"5,000",EE Hamirpur,EE Hamirpur,No,C/O link road Dhail to Naglamber Km0/0 to 3/450,C/O 5/7 metre wide road formation Cutting Km 0/300 to 3/450C/O R/Wall and Breast Wall C D Works G-1 G-II G-III Tarring V-Shape Side Drain and Parapets in Km 0/0 to 3/450,Please refer Tender documents. ,NA ,"2,06,20,151",Civil Works - Roads,NA ,Tender,120.0,NA ,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Work in hand Certificate shown in Schedule in SBD,EEHamirpur,Executive Engineer Hamirpur HPPWD hamirpur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,77799.0,Satish Kapil,28-Feb-2018 09:17 AM,Accepted-AOC,l1,22-May-2019 10:32 PM,,,,,,,,,,,,AOC,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration of EPF,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turn Over of last five year certificates from CA,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
