S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,59997.0,ganesh,INR,"1,373,395",Finance,Smt Rani Devi Supdt GRII Smt Pawana Kumari Supdt GrII Sh Rajinder Kumar HDM ER Rajesh Kumar Pathak Er Bhupinder Singh Chairman Cum EE,Bhupinder Singh,26-May-2017 02:00 PM,finance_22046.pdf,BOQ Comparative Chart,Technical,Smt Rani Devi Supdt GrII Smt Pawana Kumari Supdt PMGSY Sh Rajinder Kumar HDM Sh Rajesh Pathak AE Er Bhupinder Singh Chairman cum EE,Bhupinder Singh,18-May-2017 02:15 PM,technical_22046.pdf,1.0,59997.0,ganesh,11-May-2017 05:58 PM,Accepted-AOC,ok,24-May-2019 11:47 AM,Er. Bhupinder Singh,Internal,summary attached,Harbans Lal Sharma,14-May-2019 04:56 PM,finsummary_22046.pdf (1264.89 KB),24-May-2019,"INR 1,179,723",30.0,Harbans Lal Sharma,24-May-2019 11:47 AM,5335dt14817.PDF (1360.00 KB),summary attached,PWD,2017_PWD_16216_1,PCR Channi Devi to Guret under Bharwain Division,Periodical Renewal coat with premix carpet and seal coat on link road Channi Devi to Guret km 000 to 2000VR0022 under PMGSY with paver,Er Bhupinder Singh,Internal,Smt Rani Devi Supdt GrII Smt Pawana Kumari Supdt PMGSY Sh Rahinder Kumar HDM Sh Rakesh Pathak AE,Bhupinder Singh,18-May-2017 03:58 PM,18-May-2017 04:05 PM,techsummary_22046.pdf (2803.70 KB),AOC,1.0,DD - Demand Draft,"23,600",No,fixed,,EE Bharwain,PNB at Amb,05-May-2017 06:00 PM,12-May-2017 11:30 AM,05-May-2017 06:00 PM,11-May-2017 06:00 PM,NA ,NA ,05-May-2017 06:00 PM,11-May-2017 06:00 PM,18-May-2017 04:05 PM,Executive Engineer,Division HPPWD Bharwain,PWD,PCR Channi Devi to Guret under Bharwain Division,2017_PWD_16216_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical Renewal coat with premix carpet and seal coat on link road Channi Devi to Guret km 000 to 2000VR0022 under PMGSY with paver,Periodical Renewal coat with premix carpet and seal coat on link road Channi Devi to Guret km 000 to 2000VR0022 under PMGSY with paver,Tender Documents ,NA ,"11,79,723",Civil Works,Road ,Tender,120.0,30.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form as indicated in scheduled (F),500.0,EE Bharwainr,PNB at Amb,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in scheduled F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax Registration (General Rule No.21,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration (General Rule No. 23),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and Work in hand certificate General Rule No.19(Shown in scheduled F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machineries Tool plants Indicated in schedule-F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of equipments (Indicated in schedule-F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. list of both Gazetted officer and NGO serving as HPPWD employee related to him,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. (i) information furnished is correct (ii) as per Bid capacity,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking that before submission of bid the site been visited,,,,,AOC
