Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
23-May-2019,"INR 3,380,238",90.0,Sanjiv Kumar Agnihotri,23-May-2019 06:44 PM,18581.pdf (625.00 KB),y,ee,Internal,eeeaehdmsup,Sanjiv Kumar Agnihotri,23-May-2019 06:42 PM,finsummary_25116.pdf (624.66 KB),EE Nalagarh,Internal,All committee members,Rajinder Singh,01-Nov-2017 03:58 PM,01-Nov-2017 04:00 PM,techsummary_25116.pdf (607.92 KB),PWD,2017_PWD_18581_1,PW.NLD.EA1Tender Publication/2015-16 8117-20,"Renewal coat on Khera Rajpura road K.M 0/0 to 6/0 ( SH P/L Penetration macadam in patches , BC in K.M 3/0 6/0 )",Technical,All committee members,Rajinder Singh,01-Nov-2017 03:54 PM,technical_25116.pdf,1.0,70250.0,Jarnail Singh,11-Oct-2017 06:43 PM,Rejected-AOC,y,23-May-2019 06:44 PM,Finance,attached,Sanjiv Kumar Agnihotri,23-May-2019 06:39 PM,finance_25116.pdf,BOQ Comparative Chart,1.0,70197.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,INR,33.8,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,Corridenum change of unit,Financial Bid,,PWD,PW.NLD.EA1Tender Publication/2015-16 8117-20,2017_PWD_18581_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HPPWD NALAGARH,06-Oct-2017 06:00 PM,12-Oct-2017 11:30 AM,06-Oct-2017 06:00 PM,12-Oct-2017 11:00 AM,NA ,NA ,06-Oct-2017 06:00 PM,12-Oct-2017 11:00 AM,01-Nov-2017 04:00 PM,"Renewal coat on Khera Rajpura road K.M 0/0 to 6/0 ( SH P/L Penetration macadam in patches , BC in K.M 3/0 6/0 )","Renewal coat on Khera Rajpura road K.M 0/0 to 6/0 ( SH P/L Penetration macadam in patches , BC in K.M 3/0 6/0 )",Please refer Tender documents. ,NA ,"33,77,590",Civil Works - Roads,NA ,Tender,120.0,90.0,Nalagarh,174101.0,NA ,NA ,NA ,Nalagarh,No ,No,1.0,DD - Demand Draft,"1,500",EE Nalagarh,Nalagarh,No,"69,780",No,fixed,,EE Nalagarh,Nalagarh,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,70223.0,M/S Jaswant Rai Verma,11-Oct-2017 04:57 PM,Rejected-AOC,y,23-May-2019 06:44 PM,,,,,,,,,,,,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,70197.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,10-Oct-2017 09:20 PM,Accepted-AOC,y,23-May-2019 06:44 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
