Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
350.0,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,No,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),PWD,PW-JND-B and R-EA-I-NIT- 26487-26586 dt.20.02.2019,2019_PWD_28192_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Mar-2019 10:00 AM,19-Mar-2019 11:30 AM,06-Mar-2019 10:00 AM,18-Mar-2019 05:00 PM,NA ,NA ,06-Mar-2019 10:00 AM,18-Mar-2019 05:00 PM,27-Mar-2019 11:00 AM,1.0,DD - Demand Draft,Periodical maintenance of Km 16/0 T-04 to Basalan road (VR0081) under Annual Maintenance Plan 2019-20,"Providing and laying built-up spray grout, 25mm thick bituminous concrete in Km. 2/0 to 3/0",As per bid documents ,NA ,"6,84,753",Civil Works - Roads,NA ,Tender,120.0,90.0,Lad-Bharol,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,"13,700",No,fixed,,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,AOC,1.0,118855.0,ANURAG SHARMA,18-Mar-2019 03:44 PM,Rejected-Finance,L-2,11-Apr-2019 03:02 PM,Technical,summary,Bhag Mal Thakur,22-Mar-2019 12:15 PM,technical_40291.pdf,Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,26-Mar-2019 01:13 PM,27-Mar-2019 11:00 AM,,PWD,2019_PWD_28192_1,PW-JND-B and R-EA-I-NIT- 26487-26586 dt.20.02.2019,Periodical maintenance of Km 16/0 T-04 to Basalan road (VR0081) under Annual Maintenance Plan 2019-20,AOC
,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,118791.0,G.P.ACHARYA,18-Mar-2019 03:18 PM,Accepted-AOC,AOC,22-May-2019 12:46 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Workdone and workinhand detail/existing comm.(Gen.Rule No.19)Mini amount of work done as per Sch.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
