Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,13-May-2019 01:14 PM,finsummary_39006.pdf (198.53 KB),13-May-2019,"INR 704,586",30.0,Virender Kumar,13-May-2019 01:16 PM,Award_letter.pdf (502.00 KB),Award_letter,PWD,2019_PWD_27389_1,Periodical Maintenance Khaira Buhla to Parage Da G,Periodical Maintenance Of Road From Khaira Buhla to Parage Da Galu under AMP 2019-20 (PMGSY ROAD),Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,04-Mar-2019 01:53 PM,05-Mar-2019 11:00 AM,techsummary_39006.pdf (281.19 KB),Technical,Summary,Virender Kumar,04-Mar-2019 01:51 PM,technical_39006.pdf,1.0,115429.0,Kulvinder,25-Feb-2019 10:45 PM,Rejected-Technical,Non Responsive,04-Mar-2019 01:53 PM,1.0,115279.0,VINOD KUMAR,INR,"926,976",Finance,Financial_Evaluation,Virender Kumar,07-Mar-2019 04:07 PM,finance_39006.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,20-Feb-2019 10:00 AM,27-Feb-2019 11:00 AM,20-Feb-2019 10:30 AM,26-Feb-2019 05:00 PM,NA ,NA ,20-Feb-2019 10:30 AM,26-Feb-2019 05:00 PM,05-Mar-2019 11:00 AM,Periodical Maintenance Of Road From Khaira Buhla to Parage Da Galu under AMP 2019-20 (PMGSY ROAD),Providing and laying 25mm thick Bitumen concrete i/c profile correction laying with paver finisher in Km 24/0 to 25/0,Please refer Tender documents. ,NA ,"7,04,586",Civil Works - Roads,NA ,Tender,120.0,30.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,"14,100",Yes,fixed,,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,1.0,DD - Demand Draft,500.0,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,Yes,Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,PWD,Periodical Maintenance Khaira Buhla to Parage Da G,2019_PWD_27389_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115390.0,Sanjeev,25-Feb-2019 07:55 PM,Rejected-AOC,Rejected due to higher rates bidder L2,13-May-2019 01:16 PM,,,,,,,,,,,,AOC,,,.pdf,Sale Tax/Vat/TIN/GST/PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,115279.0,VINOD KUMAR,25-Feb-2019 04:54 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,13-May-2019 01:16 PM,,,,,,,,,,,,AOC,,,.pdf,Tax clearance certificate (TCC) issued from the Excise and Taxation Deptt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no near relative working in HPPWD department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,E-mail addreses and Mobile Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
