S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,1.0,Corrigendum,Date,,"2,000",EE Jubbal,Jubbal,No,PWD,PW.JD/E-Tender/2017-18 -1407-09 Dt. 3.5.17,2017_PWD_16163_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-May-2017 02:30 PM,16-May-2017 11:00 AM,03-May-2017 02:30 PM,15-May-2017 06:00 PM,NA ,NA ,03-May-2017 02:30 PM,15-May-2017 06:00 PM,25-May-2017 05:30 PM,"95,600",No,fixed,,EE Jubbal,Jubbal,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Providing Periodical Maintenance to Kharapather Patsari Road Km 11/500 to 19/055 under AMP PMGSY 2017-18 Add,SH Providing Renewal Coat with 25mm thick Bitumenious Concrete in Km 11/500 to 19/050,Please refer Tender documents. ,NA ,"63,05,212",Civil Works - Roads,NA ,Tender,90.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,Executive Engineer Jubbal,HPPWD Jubbal,AOC,Er.Vipin Sharma,Internal,,Manoj Bhardwaj,25-May-2017 05:27 PM,25-May-2017 05:30 PM,techsummary_21984.pdf (535.77 KB),PWD,2017_PWD_16163_1,PW.JD/E-Tender/2017-18 -1407-09 Dt. 3.5.17,Providing Periodical Maintenance to Kharapather Patsari Road Km 11/500 to 19/055 under AMP PMGSY 2017-18 Add,06-May-2019,"INR 7,897,777",60.0,Prem Pal Sharma,06-May-2019 10:07 AM,aoc161631.pdf (342.00 KB),awarded after negotation,Er Rakesh Thakur,Internal,HDM Supdt DAO,Prem Pal Sharma,06-May-2019 10:04 AM,finsummary_21984.pdf (341.19 KB),1.0,59938.0,AJAY KUMAR SAUHTA,15-May-2017 03:59 PM,Accepted-AOC,lowest,06-May-2019 10:07 AM,Technical,SUMMARY,Manoj Bhardwaj,25-May-2017 05:26 PM,technical_21984.pdf,Finance,All the 3 bidders accepted,Prem Pal Sharma,06-May-2019 10:02 AM,finance_21984.pdf,BOQ Comparative Chart,1.0,59938.0,AJAY KUMAR SAUHTA,INR,"7,897,777",AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,59939.0,Jai Chauhan,15-May-2017 05:30 PM,Rejected-AOC,other than lowest,06-May-2019 10:07 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,60210.0,Rajinder Singh Negi,15-May-2017 04:44 PM,Rejected-AOC,other than lowest,06-May-2019 10:07 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
