Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Attached,Dev Raj,21-Feb-2019 07:03 PM,technical_38558.pdf,1.0,113250.0,Gian chand,17-Feb-2019 04:13 PM,Accepted-AOC,l1,30-May-2019 07:33 PM,Finance,Attached,Vivek Sharma,25-May-2019 03:09 PM,finance_38558.pdf,BOQ Comparative Chart,1.0,113250.0,Gian chand,INR,"6,048,675",EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,27-May-2019 11:19 AM,finsummary_38558.pdf (716.51 KB),30-May-2019,"INR 5,054,103",30.0,Vivek Sharma,30-May-2019 07:33 PM,27083F.pdf (1545.00 KB),Award,PWD,2019_PWD_27083_1,2019-2020 of PMGSY roads under Nadaun Sub Division,AMP for the year 2019-2020 of PMGSY roads under Nadaun Sub-Division AMP on Chamarara to Rattian road Km. 4/0 to 6/0,EEHamirpur,Internal,SupdtSrDAOAEtoEEHDM,Dev Raj,21-Feb-2019 08:22 PM,22-Feb-2019 03:00 PM,techsummary_38558.pdf (901.79 KB),AOC,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"2,000",EE Dodrakawar,Rohru/Dodrakawar,Yes,AMP for the year 2019-2020 of PMGSY roads under Nadaun Sub-Division AMP on Chamarara to Rattian road Km. 4/0 to 6/0,1 AMP on link road to CHC Nadaun Km. 0/0 to 1/0 2AMP on link road from Tillu Amarkot to Bus Stand via Bhatre Km. 0/0 to 0/650 3AMP on NH-70 to Police Station Nadaun Km. 0/0 to 0/750 4AMP on link road to village Chamaral Km. 5/0 to 6/500,Please refer Tender documents. ,NA ,"44,30,708",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"74,000",Yes,fixed,,EE Dodrakawar,Rohru/Dodrakawar,PWD,2019-2020 of PMGSY roads under Nadaun Sub Division,2019_PWD_27083_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,DD - Demand Draft,09-Feb-2019 02:00 PM,18-Feb-2019 11:30 AM,09-Feb-2019 02:00 PM,18-Feb-2019 10:30 AM,NA ,NA ,09-Feb-2019 02:00 PM,18-Feb-2019 10:30 AM,22-Feb-2019 03:00 PM,AOC
,,,,,2.0,113245.0,Maheshrajan,17-Feb-2019 04:00 PM,Rejected-AOC,l2,30-May-2019 07:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent,2.0,BC - Bankers Cheque,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,3.0,SS - Small Savings Instrument,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,4.0,BG - Bank Guarantee,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,5.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders are required paver Machine / Mini Hot Plant for execution of work in the radius of 30km,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD,,,,,,,,,,,,AOC
