Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
C/O Link road from Jouni Barol Galu to Kali Mata mandir Kuffer in tehsil kotkhai Distt Shimla H.P.,SH Formation cutting 5/7 mtr wide road in Km 0/0 to 1/600 and P/l Kharanja Soling at various RDs,Please refer Tender documents. ,NA ,"29,65,782",Civil Works - Roads,NA ,Tender,120.0,90.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,Executive Engineer Jubbal,HPPWD JUBBAL,1.0,DD - Demand Draft,"2,000",EE Jubbal,Jubbal,No,"52,000",No,fixed,,EE Jubbal,Jubbal,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),20-Sep-2017 01:00 PM,03-Oct-2017 04:00 PM,20-Sep-2017 01:00 PM,03-Oct-2017 11:00 AM,NA ,NA ,20-Sep-2017 01:00 PM,03-Oct-2017 11:00 AM,04-Oct-2017 11:05 AM,PWD,PW.JD/E-Tender/2017-18- 6874-76 Dt28.8.17,2017_PWD_18262_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,2 no bids received,Prem Pal Sharma,01-May-2019 05:17 PM,finance_24733.pdf,BOQ Comparative Chart,1.0,69526.0,AMAN SHARMA,03-Oct-2017 10:55 AM,Rejected-Technical,Non-Responsive,04-Oct-2017 11:02 AM,Technical,Technical Bid Opening Summary,Manoj Bhardwaj,04-Oct-2017 11:00 AM,technical_24733.pdf,Er.Vipin Sharma,Internal,,Manoj Bhardwaj,04-Oct-2017 11:02 AM,04-Oct-2017 11:05 AM,techsummary_24733.pdf (379.60 KB),PWD,2017_PWD_18262_1,PW.JD/E-Tender/2017-18- 6874-76 Dt28.8.17,C/O Link road from Jouni Barol Galu to Kali Mata mandir Kuffer in tehsil kotkhai Distt Shimla H.P.,AOC
,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,69413.0,Arun Negi,28-Sep-2017 03:54 PM,Accepted-AOC,lowest one,06-May-2019 09:19 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,69503.0,Sitender Sood,02-Oct-2017 12:04 PM,Rejected-AOC,other than lowest,06-May-2019 09:19 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
