Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"82,500",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,DD - Demand Draft,EE Hamirpur,Executive Engineer HPPWD Hamirpur,27-Jun-2018 06:00 PM,05-Jul-2018 03:30 PM,27-Jun-2018 06:00 PM,05-Jul-2018 10:30 AM,NA ,NA ,27-Jun-2018 06:00 PM,05-Jul-2018 10:30 AM,24-Jul-2018 06:40 PM,Annual Maintenance Plan for the Year 2018-2019 of PMGSY/ Rural roads under Hamirpur Sub-Division,1 Galore Hamirpur road Km. 4/0 to 6/0 6/0 to 7/0 and 14/0 to 15/0 Package No. HP0358 2 Masyana to Galore road Masyana Kudhiar road Km. 4/0 to 6/0 and 13/0 to 14/0 Package No. HP0356,Please refer Tender documents. ,NA ,"49,92,850",Civil Works - Roads,NA ,Tender,120.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamiurpur,No ,No,"2,500",EE Hamirpur,EE Hamirpur,No,PWD,"(1) Galore Hamirpur road Km. 4/0 to 6/0, 6/0 to 7/",2018_PWD_21960_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,88385.0,MOHINDER PAL GOVT. CONTRACTOR,04-Jul-2018 06:48 PM,Rejected-AOC,l2,08-May-2019 03:12 PM,Technical,Attached,Deva Nand,24-Jul-2018 06:17 PM,technical_30974.pdf,PWD,2018_PWD_21960_1,"(1) Galore Hamirpur road Km. 4/0 to 6/0, 6/0 to 7/",Annual Maintenance Plan for the Year 2018-2019 of PMGSY/ Rural roads under Hamirpur Sub-Division,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deva Nand,24-Jul-2018 06:25 PM,24-Jul-2018 06:40 PM,techsummary_30974.pdf (222.15 KB),AOC
,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,88371.0,Parveen Kumar Katna,04-Jul-2018 04:35 PM,Rejected-AOC,l4,08-May-2019 03:12 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,88419.0,Praveen Kumar,05-Jul-2018 08:12 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Jul-2018 06:17 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,88395.0,Sanjay Thakur,05-Jul-2018 10:25 AM,Rejected-AOC,l3,08-May-2019 03:12 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,88412.0,Satish Kapil,05-Jul-2018 08:19 AM,Accepted-AOC,l1,08-May-2019 03:12 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,The bidders are required paver Machine and Mini Hot Plant for execution of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
