Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Technical Bid opening Summary,Yogesh Sharma,01-Jan-2019 11:31 AM,technical_35306.pdf,1.0,103328.0,Chander Kumar Govt. Contractor,13-Dec-2018 05:07 PM,Rejected-Finance,L-2,03-May-2019 12:56 PM,1.0,103297.0,Manjul Kumar Govt. Contractor,INR,"853,476",Finance,Bid Opening Summary,Kamal Singh Pal,03-May-2019 12:54 PM,finance_35306.pdf,BOQ Comparative Chart,03-May-2019,"INR 853,476",90.0,Kamal Singh Pal,03-May-2019 12:58 PM,11AA.pdf (640.00 KB),AOC,Er. Kamal Singh Pal,Internal,,Kamal Singh Pal,03-May-2019 12:56 PM,finsummary_35306.pdf (19.65 KB),Er K S Pal,Internal,EE Suptt. Accountant DM Tender Clerk,Yogesh Sharma,01-Jan-2019 11:41 AM,01-Jan-2019 11:45 AM,techsummary_35306.pdf (505.90 KB),PWD,2018_PWD_25268_2,PW.CHD.CB-E-9/2018 11055-11154 DT.19.11.18,A/R and M/O Police Station Building at Nerwa,AOC,1.0,DD - Demand Draft,A/R and M/O Police Station Building at Nerwa,SH Repair and Maintenance of quarters and Police Station Building,Please refer Tender documents. ,NA ,"6,32,500",Civil Works - Buildings,NA ,Tender,120.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"1,500",EE Chopal,Chopal,No,EE Chopal,HPPWD CHOPAL,PWD,PW.CHD.CB-E-9/2018 11055-11154 DT.19.11.18,2018_PWD_25268_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"12,900",No,fixed,,EE Chopal,Chopal,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),10-Dec-2018 01:30 PM,18-Dec-2018 11:00 AM,10-Dec-2018 01:30 PM,15-Dec-2018 05:30 PM,NA ,NA ,10-Dec-2018 01:30 PM,15-Dec-2018 05:30 PM,01-Jan-2019 11:45 AM,AOC
,,,,,2.0,103297.0,Manjul Kumar Govt. Contractor,13-Dec-2018 02:19 PM,Accepted-AOC,L-1,03-May-2019 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,AOC
,,,,,3.0,103204.0,Sandeep Kumar Govt Contractor,14-Dec-2018 03:55 AM,Rejected-Technical,Non Responsive,01-Jan-2019 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,AOC
,,,,,4.0,103383.0,Sukh Dev,15-Dec-2018 04:03 PM,Rejected-Technical,Non Responsive,01-Jan-2019 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,AOC
