Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
21-Feb-2019 10:30 AM,07-Mar-2019 10:30 AM,21-Feb-2019 10:30 AM,06-Mar-2019 10:30 AM,NA ,NA ,21-Feb-2019 10:30 AM,06-Mar-2019 10:30 AM,12-Mar-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"25,200",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,1.0,DD - Demand Draft,PWD,C/O link road Dhar Dheli Jassai road,2019_PWD_27598_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,C/O link road Dhar Dheli Jassai road Km. 0/0 to 3/0,P/L soling in km. 2/700 to 3/0 G-II and G-III and 2cm thick premix carpet in km. 2/0 to 3/0,Please refer Tender documents. ,NA ,"12,57,533",Civil Works - Roads,NA ,Tender,120.0,180.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,AOC,PWD,2019_PWD_27598_1,C/O link road Dhar Dheli Jassai road,C/O link road Dhar Dheli Jassai road Km. 0/0 to 3/0,EE,Internal,Supdt HDM DAO,Anil Kumar Sharma,11-Mar-2019 06:36 PM,12-Mar-2019 11:00 AM,techsummary_39330.pdf (438.57 KB),EE,Internal,supdt HDM DAO,Pramod Kashyap,10-Apr-2019 10:45 PM,finsummary_39330.pdf (141.24 KB),28-May-2019,"INR 1,257,533",180.0,Pramod Kashyap,28-May-2019 05:21 PM,dharjassai.pdf (443.00 KB),C/O link road Dhar Dheli Jassai road Km. 0/0 to 3/0,1.0,117304.0,RAMAN KUMAR,INR,"1,525,333",Finance,fin bid,Anil Kumar Sharma,15-Mar-2019 03:29 PM,finance_39330.pdf,BOQ Comparative Chart,1.0,117256.0,BRAHAM DASS SHARMA,06-Mar-2019 07:58 AM,Rejected-AOC,L 2,28-May-2019 05:21 PM,Technical,bid opening summary,Pramod Kashyap,07-Mar-2019 12:50 PM,technical_39330.pdf,AOC
,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,117304.0,RAMAN KUMAR,06-Mar-2019 10:00 AM,Accepted-AOC,L 1,28-May-2019 05:21 PM,,,,,,AOC
,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary (Plant and p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
