S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,MCK/TEND/1980,2019_UDDHP_28443_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,ITB,Development of Storm Water Drainage Along Road and Path Zone-3,Development of Storm Water Drainage Along Road and Path Zone-3,Please refer Tender documents. ,NA ,"26,11,052",Civil Works,NA ,Tender,180.0,360.0,Kullu,175101.0,MC Kullu ,MC Kullu ,18-Mar-2019 03:30 PM ,MC Kullu,No ,No,"52,222",No,fixed,,EO MC Kullu,MC Kullu,13-Mar-2019 02:00 PM,26-Mar-2019 04:00 PM,13-Mar-2019 02:00 PM,26-Mar-2019 12:00 PM,13-Mar-2019 02:00 PM ,18-Mar-2019 03:30 PM ,13-Mar-2019 04:00 PM,26-Mar-2019 12:00 PM,08-Apr-2019 12:30 PM,1.0,DD - Demand Draft,EO MC Kullu,MC Kullu,500.0,EO MC Kullu,MC Kullu,No,AOC,Vice President Gopal Kishan Mahant,Internal,Vice President Gopal Kishan Mahant EO MC Kullu JE MC Kullu,Sachin Thakur,23-May-2019 05:09 PM,finsummary_40892.pdf (195.58 KB),1.0,119679.0,MNBN Enterprises,INR,"3,649,298",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,2019_UDDHP_28443_1,MCK/TEND/1980,Development of Storm Water Drainage Along Road and Path Zone-3,Shri Gopal Krishan Mahant,Internal,Vice President Shri Gopal Krishan Mahant EO MC Kullu and JE MC Kullu,Tej Singh Thakur,08-Apr-2019 12:11 PM,08-Apr-2019 12:30 PM,techsummary_40892.pdf (28.29 KB),1.0,119679.0,MNBN Enterprises,24-Mar-2019 09:10 PM,Accepted-AOC,L1,24-May-2019 11:20 AM,24-May-2019,"INR 3,649,298",360.0,Sachin Thakur,24-May-2019 11:20 AM,DrainZone3.pdf (734.00 KB),Contract Awarded,Finance,Technically and Financially bid accepted,Sachin Thakur,23-May-2019 04:03 PM,finance_40892.pdf,BOQ Comparative Chart,Technical,Technically qualified,Tej Singh Thakur,08-Apr-2019 11:57 AM,technical_40892.pdf,AOC
2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,.pdf,Technical Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,.pdf,Tender Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,.pdf,Drawing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,Financial Details ,P/ L and Balance Sheet 2008-2009 ,P/ L and Balance Sheet 2008-2009 ,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,Financial Details ,P/ L and Balance Sheet 2009-2010 ,P/ L and Balance Sheet 2009-2010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,Financial Details ,P/L and Balance Sheet 2010-2011 ,P/L and Balance Sheet 2010-2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
