Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
22-Sep-2017 03:20 PM,03-Oct-2017 11:30 AM,22-Sep-2017 03:20 PM,03-Oct-2017 10:00 AM,NA ,NA ,22-Sep-2017 03:20 PM,03-Oct-2017 10:00 AM,10-Oct-2017 01:00 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,EE MANDI DIVISION NO 2 HPPWD MANDI,EE MANDI DIVISION NO 2 HPPWD MANDI,"2,56,800",No,fixed,,EE MANDI DIVISION NO 2 HPPWD MANDI,EE MANDI DIVISION NO 2 HPPWD MANDI,"5,000",EE MANDI DIVISION NO 2 HPPWD MANDI,EE MANDI DIVISION NO 2 HPPWD MANDI,Yes,C/O Suspension Foot bridge from Paddal to Purani Mandi over Beas River Distt.Mandi HP,C/O 125.00 mtr span foot bridge over Beas River,Please refer Tender documents. ,NA ,"2,24,25,009",Civil Works,NA ,Tender,90.0,365.0,EE MANDI DIVISION NO 2 HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO 2 HPPWD MANDI,No ,No,PWD,C/O Suspension Foot bridge from Paddal to Purani,2017_PWD_18339_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,69507.0,Ajay Kumar Sharma,02-Oct-2017 04:32 PM,Rejected-Finance,2.0,02-May-2019 04:41 PM,Technical,Summary,PRAKASH CHAND,10-Oct-2017 12:30 PM,technical_24815.pdf,1.0,69486.0,VIJAY KAPOOR CONSTRUCTIONS,INR,"44,219,137",Finance,Summary,Pradeep Singh,13-Mar-2018 05:43 PM,finance_24815.pdf,BOQ Comparative Chart,ER JAGESH VAIDYA,Internal,HDM DAO SUPDT AE TO EE,PRAKASH CHAND,10-Oct-2017 12:41 PM,10-Oct-2017 01:00 PM,techsummary_24815.pdf (216.34 KB),PWD,2017_PWD_18339_1,C/O Suspension Foot bridge from Paddal to Purani,C/O Suspension Foot bridge from Paddal to Purani Mandi over Beas River Distt.Mandi HP,02-May-2019,"INR 44,219,137",365.0,Dharminder Kumar Verma,02-May-2019 04:42 PM,2017_PWD_18339_1.pdf (205.00 KB),ER PRADEEP SINGH,Internal,,Dharminder Kumar Verma,02-May-2019 04:41 PM,finsummary_24815.pdf (205.08 KB),AOC
,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,"Earnest money(indicated in Schedule-F),",2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,69486.0,VIJAY KAPOOR CONSTRUCTIONS,30-Sep-2017 04:53 PM,Accepted-AOC,1.0,02-May-2019 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",3.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,69510.0,Vijay Kumar Sharma,02-Oct-2017 04:56 PM,Rejected-Finance,3.0,02-May-2019 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Sales Tax Registration (TIN No.)(General Rule No.21),4.0,Financial Details ,Annual Turn Over Details ,Annual Turn Over Details ,HP_Turnover.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),5.0,Financial Details ,Bankers Details ,Bankers Details ,HP_BankersDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),6.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,7.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,8.0,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",9.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Annual Turnover certificates from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
