EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"46,500",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,DD - Demand Draft,"1,500","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,S/R to Honble Chief Minister Residence Building at Oak Over Shimla. (SH- P/L interlocking cobbler blocks flooring on internal approach road from main gate to adjoining parking of Residence Building at Oak Over Shimla.),S/R to Honble Chief Minister Residence Building at Oak Over Shimla. (SH- P/L interlocking cobbler blocks flooring on internal approach road from main gate to adjoining parking of Residence Building at Oak Over Shimla.),As per bidding documents ,NA ,"25,86,774",Civil Works,NA ,Tender,120.0,60.0,Chhota Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3),PWD,SD-III-CB-Tender/2018-19-29458 dated 08-02-2019,2019_PWD_27918_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,27-Feb-2019 05:00 PM,12-Mar-2019 11:00 AM,27-Feb-2019 05:00 PM,11-Mar-2019 05:00 PM,NA ,NA ,27-Feb-2019 05:00 PM,11-Mar-2019 05:00 PM,28-May-2019 04:30 PM,AOC,1.0,117978.0,PIUESH,INR,"2,435,611",Finance,Bid opening summary,Raj Kumar Verma,28-May-2019 06:04 PM,finance_39876.pdf,BOQ Comparative Chart,1.0,117777.0,DINESH KUMAR GUPTA,08-Mar-2019 11:13 PM,Rejected-Technical,OK,28-May-2019 04:20 PM,1.0,CORRI,Corri,28-May-2019 03:50 PM,CORRI.pdf ,131.95,Technical Opening,Technical,Bid opening summary,Paresh Chauhan,28-May-2019 04:04 PM,technical_39876.pdf,ER.R.K.VERMA,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Raj Kumar Verma,28-May-2019 04:20 PM,28-May-2019 04:30 PM,techsummary_39876.pdf (292.68 KB),PWD,2019_PWD_27918_2,SD-III-CB-Tender/2018-19-29458 dated 08-02-2019,S/R to Honble Chief Minister Residence Building at Oak Over Shimla. (SH- P/L interlocking cobbler blocks flooring on internal approach road from main gate to adjoining parking of Residence Building at Oak Over Shimla.),28-May-2019,"INR 2,586,774",30.0,Raj Kumar Verma,29-May-2019 11:24 AM,27918-2.pdf (393.00 KB),AOC,ER.R.K.VERMA,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Raj Kumar Verma,28-May-2019 06:08 PM,finsummary_39876.pdf (211.32 KB),AOC
,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per schedule F (6.5),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,117792.0,Jibachh Goswami,09-Mar-2019 12:36 PM,Rejected-AOC,L3,29-May-2019 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,117978.0,PIUESH,11-Mar-2019 02:41 PM,Accepted-AOC,L1,29-May-2019 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,117949.0,PRAHLAD SING NEGI,11-Mar-2019 01:54 PM,Rejected-AOC,L2,29-May-2019 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration as per General Rule No 21 (in H.P.) Copy of Tin No.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
