Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Stage
EE Ramesh Singh,Internal,"Chaman Lal AE, Kehar Singh Supdt, Bhagat Ram HDM",Ramesh Singh,16-Apr-2019 10:10 AM,finsummary_36551.pdf (295.17 KB),29-May-2019,"INR 11,045,390",365.0,Ramesh Singh,29-May-2019 10:43 AM,20.pdf (261.00 KB),AOC,PWD,2019_PWD_25978_1,17389-428,Construction of Nihandigalli Jhungi road including bridge over Jhungi Khad km. 0/0 to 2/250,Er. Ramesh Singh EE HPPWD.Gohar,Internal,"Er.Chaman Lal AE, Bhagat Ram HDM,Rattan Lal Supdt.",Ramesh Singh,11-Feb-2019 10:25 AM,14-Feb-2019 11:00 AM,techsummary_36551.pdf (390.36 KB),Technical,Technical Summary,Ramesh Singh,11-Feb-2019 10:18 AM,technical_36551.pdf,1.0,109777.0,Dhani Ram,30-Jan-2019 02:13 AM,Accepted-AOC,1st. Lowest,29-May-2019 10:43 AM,Finance,Financial Summary,Ramesh Singh,16-Apr-2019 10:00 AM,finance_36551.pdf,BOQ Comparative Chart,1.0,109777.0,Dhani Ram,INR,"19,026,594",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Construction of Nihandigalli Jhungi road including bridge over Jhungi Khad km. 0/0 to 2/250,"Construction of Nihandigalli Jhungi road including bridge over Jhungi Khad km. 0/0 to 2/250 (SH- Improvement of Narrow and stand reaches ROFD, C.D. Works, Providing and Laying G-I, G-II, G-III and Tarring, C/o V-Shape Pucca drain, Sign Board and 19.7",Please refer Tender documents. ,NA ,"1,10,45,379",Civil Works,NA ,Tender,120.0,365.0,Gohar,175029.0,NA ,NA ,NA ,O/o Xen HPPWD Gohar,No ,No,PWD,17389-428,2019_PWD_25978_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE Gohar,Gohar,Yes,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,16-Jan-2019 05:00 PM,31-Jan-2019 11:30 AM,16-Jan-2019 05:00 PM,30-Jan-2019 05:00 PM,NA ,NA ,16-Jan-2019 05:30 PM,30-Jan-2019 05:00 PM,14-Feb-2019 11:00 AM,Executive Engineer,Executive Engineer Gohar Division HPPWD Gohar,"1,43,000",Yes,fixed,,EE Gohar,Gohar,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109866.0,Puran Mal Mahajan,30-Jan-2019 02:08 PM,Rejected-AOC,3rd. Lowest,29-May-2019 10:43 AM,,,,,,,,,,,,AOC,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109764.0,Rajesh Kaplex,30-Jan-2019 09:09 AM,Rejected-AOC,4th. Lowest,29-May-2019 10:43 AM,,,,,,,,,,,,AOC,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Work Details ,Existing Commitments ,Existing Commitments Details ,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,109200.0,SURENDER KUMAR SHARMA,30-Jan-2019 03:30 PM,Rejected-AOC,2nd. Lowest,29-May-2019 10:43 AM,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Work Details ,Quantity of Work Done ,Quantity of Work Done Details ,HP_QuantityWorkDone.xls,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,minimum one similar work done of amount not less than 40 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
