Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
01-May-2019,"INR 53,641,483",545.0,Raj Kumar Verma,01-May-2019 12:56 PM,24341-1.pdf (836.00 KB),AOC,ER.R.K.VERMA,External,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Rajeev Shaunak,15-Nov-2018 12:36 PM,finsummary_34020.pdf (130.23 KB),ER.R.K.VERMA,External,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Rajeev Shaunak,15-Nov-2018 10:33 AM,15-Nov-2018 11:00 AM,techsummary_34020.pdf (152.71 KB),PWD,2018_PWD_24341_1,SD-III-CB-Tender/-15222 dt 29-09-2018,C/O Expansion of Cancer Hospital Building at IGMC Shimla (SH C/O Civil work WS and SI work Rain harvesting tank and site development etc),Technical,Bid opening summary,Rajeev Shaunak,12-Nov-2018 04:17 PM,technical_34020.pdf,1.0,99937.0,Ajay Kuthiala,11-Nov-2018 10:14 PM,Rejected-AOC,L3,01-May-2019 12:56 PM,1.0,99916.0,Tenzin Construction Co. Pvt. Ltd.,INR,"57,801,674",Finance,Bid opening summary,Rajeev Shaunak,15-Nov-2018 12:33 PM,finance_34020.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),Executive Engineer Division No-III HPPWD Shimla-3,Executive Engineer Division No-III HPPWD Shimla-3,29-Oct-2018 05:00 PM,12-Nov-2018 11:00 AM,29-Oct-2018 05:00 PM,12-Nov-2018 10:30 AM,NA ,NA ,29-Oct-2018 05:00 PM,12-Nov-2018 10:30 AM,15-Nov-2018 11:00 AM,C/O Expansion of Cancer Hospital Building at IGMC Shimla (SH C/O Civil work WS and SI work Rain harvesting tank and site development etc),C/O Expansion of Cancer Hospital Building at IGMC Shimla (SH C/O Civil work WS and SI work Rain harvesting tank and site development etc),As per SBD ,NA ,"5,36,41,483",Civil Works,NA ,Tender,120.0,545.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-III HPPWD Shimla-3,No ,No,PWD,SD-III-CB-Tender/-15222 dt 29-09-2018,2018_PWD_24341_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",Executive Engineer Division No-III HPPWD Shimla-3,Executive Engineer Division No-III HPPWD Shimla-3,No,1.0,DD - Demand Draft,"5,00,000",No,fixed,,Executive Engineer Division No-III HPPWD Shimla-3,Executive Engineer Division No-III HPPWD Shimla-3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,99855.0,", D.S.Rathore",10-Nov-2018 03:44 PM,Rejected-AOC,L2,01-May-2019 12:56 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,99896.0,rajesh kumar suman,11-Nov-2018 07:01 PM,Rejected-AOC,L4,01-May-2019 12:56 PM,,,,,,,,,,,,AOC,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,99916.0,Tenzin Construction Co. Pvt. Ltd.,11-Nov-2018 06:41 PM,Accepted-AOC,L1,01-May-2019 12:56 PM,,,,,,,,,,,,AOC,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
