EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"27,000",No,fixed,,Executive Engineer HP PWD Division Fatehpur,Fatehpur,500.0,Executive Engineer HP PWD Division Fatehpur,Fatehpur,No,07-Mar-2018 10:00 AM,28-Mar-2018 11:00 AM,07-Mar-2018 10:00 AM,27-Mar-2018 05:00 PM,NA ,NA ,07-Mar-2018 10:30 AM,27-Mar-2018 05:00 PM,05-Apr-2018 11:00 AM,PWD,PWF/CB/Tenders/2018-9003-53 dated 12.2.18,2018_PWD_19891_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodic Renewal of STATE RURAL Roads Dhameta khas to Baruna Road Annual Maintenance Plan for the year 2018-19,Providing and laying 25mm single layer bituminous concrete (L.B.C) (HP0404VR0064) km. 0/0 to 2/0),Please refer Tender documents. ,NA ,"13,48,020",Civil Works - Roads,renewal coat ,Tender,120.0,30.0,Near Dhameta,176053.0,NA ,NA ,NA ,O/O EE PWD Division Fatehpur,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender as indicated in schedule F,EE PWD Division Fatehpur,EE PWD Division Fatehpur,AOC,PWD,2018_PWD_19891_2,PWF/CB/Tenders/2018-9003-53 dated 12.2.18,Periodic Renewal of STATE RURAL Roads Dhameta khas to Baruna Road Annual Maintenance Plan for the year 2018-19,13-Mar-2019 02:00 PM,26-Mar-2019 04:00 PM,13-Mar-2019 02:00 PM,26-Mar-2019 12:00 PM,13-Mar-2019 02:00 PM ,18-Mar-2019 03:30 PM ,13-Mar-2019 04:00 PM,26-Mar-2019 12:00 PM,08-Apr-2019 12:30 PM,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,MCK/TEND/19/82,2019_UDDHP_28450_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,47,091",No,fixed,,EO MC Kullu,MC Kullu,Technical,summary,Mohinder Pal Dhiman,03-Apr-2018 12:45 PM,technical_28091.pdf,500.0,EO MC Kullu,MC Kullu,No,1.0,DD - Demand Draft,1.0,80348.0,rajat thakur,27-Mar-2018 02:59 PM,Rejected-AOC,L2,11-Apr-2019 05:01 PM,Development of Storm Water Drainage Along Road and Path Zone-5,Development of Storm Water Drainage Along Road and Path Zone-5,Please refer Tender documents. ,NA ,"1,23,54,560",Civil Works,NA ,Tender,180.0,360.0,Kullu,175101.0,MC Kullu ,MC Kullu ,18-Mar-2019 03:30 PM ,MC Kullu,No ,No,1.0,Fee/PreQual/Technical,.pdf,ITB,AOC,24-May-2019,"INR 17,083,704",360.0,Sachin Thakur,24-May-2019 11:17 AM,DrainZone5.pdf (677.00 KB),Contract Awarded,Technical,Technically qualified,Tej Singh Thakur,08-Apr-2019 11:55 AM,technical_40900.pdf,Finance,Technically and Financially bid accepted,Sachin Thakur,23-May-2019 04:04 PM,finance_40900.pdf,BOQ Comparative Chart,1.0,119678.0,MNBN Enterprises,24-Mar-2019 09:01 PM,Accepted-AOC,L1,24-May-2019 11:17 AM,Shri Gopal Krishan Mahant,Internal,Vice President Shri Gopal Krishan Mahant EO MC Kullu and JE MC Kullu,Tej Singh Thakur,08-Apr-2019 12:12 PM,08-Apr-2019 12:30 PM,techsummary_40900.pdf (28.29 KB),Vice President Gopal Kishan Mahant,Internal,Vice President Gopal Kishan Mahant EO MC Kullu JE MC Kullu,Sachin Thakur,23-May-2019 05:08 PM,finsummary_40900.pdf (195.58 KB),1.0,119678.0,MNBN Enterprises,INR,"17,083,704",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,2019_UDDHP_28450_1,MCK/TEND/19/82,Development of Storm Water Drainage Along Road and Path Zone-5,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money as indicated in schedule F,,,AOC,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,2.0,80292.0,RAVI SHARMA,27-Mar-2018 12:28 PM,Accepted-AOC,L1,11-Apr-2019 05:01 PM,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Specifications,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rule 23,,,AOC,,,,,,,,,,,,,,3,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Notice,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration refer general rule 21,,,AOC,,,,,,,,,,,,,,4,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Drawing,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate refer general rule 19,,,AOC,,,,,,,,,,,,,,5,Financial Details ,P/ L and Balance Sheet 2008-2009 ,P/ L and Balance Sheet 2008-2009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery as shown in schedule F,,,AOC,,,,,,,,,,,,,,6,Financial Details ,P/ L and Balance Sheet 2009-2010 ,P/ L and Balance Sheet 2009-2010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,AOC,,,,,,,,,,,,,,7,Financial Details ,P/L and Balance Sheet 2010-2011 ,P/L and Balance Sheet 2010-2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,8,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,9,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,10,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
