Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
The Executive Engineer,Internal,All the members of Tender committee,Prakash Chand Negi,28-May-2019 11:39 AM,finsummary_19234.pdf (342.34 KB),28-May-2019,"INR 73,050,372",730.0,Prakash Chand Negi,28-May-2019 11:44 AM,pdf.pdf (577.00 KB),AOC,PWD,2017_PWD_14480_1,10397-10400 dated 02.01.2017,"Construction of Link road to Spiti valley via Leo KM 0.000 to 11.500 SH Balance work of 5.7 mtrs wide formation cutting, cross drainage work and sub. Structure of 75.00 mtrs span steel truss bridge and essential Kharanja stone soling",Er Virender Kumar,Internal,Er Guman Negi EE Tender Asstt,Virender Kumar,10-Mar-2017 03:26 PM,14-Mar-2017 11:00 AM,techsummary_19234.pdf (122.42 KB),Technical,Bid Opening Summary,Virender Kumar,10-Mar-2017 03:22 PM,technical_19234.pdf,1.0,54236.0,Bhupinder Paul Mahajan,03-Mar-2017 08:15 AM,Rejected-AOC,Due to 2nd lowest,28-May-2019 11:44 AM,Finance,BOQ downloaded successfully,Prakash Chand Negi,28-May-2019 11:34 AM,finance_19234.pdf,BOQ Comparative Chart,1.0,54535.0,Nachkam and Co,INR,"73,050,372",AOC,23-Jan-2017 11:00 AM,06-Mar-2017 11:00 AM,23-Jan-2017 11:00 AM,04-Mar-2017 10:30 AM,NA ,NA ,23-Jan-2017 11:00 AM,04-Mar-2017 10:30 AM,14-Mar-2017 11:00 AM,PWD,10397-10400 dated 02.01.2017,2017_PWD_14480_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"5,00,000",No,fixed,,EE Kaza,Kaza,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,1.0,Corrigendum,Date,,"5,000",EE Kaza,Kaza,No,"Construction of Link road to Spiti valley via Leo KM 0.000 to 11.500 SH Balance work of 5.7 mtrs wide formation cutting, cross drainage work and sub. Structure of 75.00 mtrs span steel truss bridge and essential Kharanja stone soling","Construction of Link road to Spiti valley via Leo KM 0.000 to 11.500 SH Balance work of 5.7 mtrs wide formation cutting, cross drainage work and sub. Structure of 75.00 mtrs span steel truss bridge and essential Kharanja stone soling",Please refer Tender documents. ,NA ,"5,38,22,750",Civil Works - Roads,NA ,Tender,90.0,730.0,Kaza,172114.0,NA ,NA ,NA ,Kaza,No ,No,Executive Engineer,Kaza Division HPPWD Kaza District Lahul and Spiti HP,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,52651.0,M/s Amit Singla,04-Mar-2017 09:52 AM,Rejected-Technical,Non responsive due to non enlisted in HPPWD,10-Mar-2017 03:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,54535.0,Nachkam and Co,04-Mar-2017 10:25 AM,Accepted-AOC,Work awarded to lowest contractor,28-May-2019 11:44 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,54254.0,Nawang Chhering,01-Mar-2017 12:48 PM,Rejected-AOC,Due to 3rd lowest,28-May-2019 11:44 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
