Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Attached,Narinder Paul Singh Chauhan,18-Jun-2018 03:28 PM,None,1.0,86320.0,MANOHAR LAL GOVT CONTRACTOR,13-Jun-2018 06:48 PM,Rejected-AOC,l2,22-May-2019 09:06 PM,Finance,Attached,Santosh Kumar Katoch,29-Apr-2019 04:24 PM,finance_30427.pdf,BOQ Comparative Chart,1.0,86309.0,MOHINDER PAL GOVT. CONTRACTOR,INR,"1,341,521",22-May-2019,"INR 1,341,524",30.0,Dev Raj,22-May-2019 09:06 PM,21554F.pdf (637.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Santosh Kumar Katoch,29-Apr-2019 04:29 PM,finsummary_30427.pdf (685.20 KB),EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Narinder Paul Singh Chauhan,18-Jun-2018 03:33 PM,18-Jun-2018 04:30 PM,techsummary_30427.pdf (205.18 KB),PWD,2018_PWD_21554_1,AMPJol Sapper Neri road Km. 4/0 to 5/500,AMP for the year 2018-19 of VR roads under Nadaun Sub-Division,AOC,08-Jun-2018 06:00 PM,15-Jun-2018 11:30 AM,08-Jun-2018 06:00 PM,14-Jun-2018 02:00 PM,NA ,NA ,08-Jun-2018 06:00 PM,14-Jun-2018 02:00 PM,18-Jun-2018 04:30 PM,"22,000",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD Hamirpur,500.0,EE Hamirpur,EE Hamirpur,No,1.0,DD - Demand Draft,PWD,AMPJol Sapper Neri road Km. 4/0 to 5/500,2018_PWD_21554_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AMP for the year 2018-19 of VR roads under Nadaun Sub-Division,Jol Sapper Neri road Km. 4/0 to 5/500 DRRP No. HP0303VR0123,Please refer Tender documents. ,NA ,"10,97,749",Civil Works - Roads,NA ,Tender,120.0,30.0,Nadaun,177033.0,NA ,NA ,NA ,Hamirpur,No ,No,AOC
,,,,,2.0,86309.0,MOHINDER PAL GOVT. CONTRACTOR,13-Jun-2018 05:39 PM,Accepted-AOC,l1,22-May-2019 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,86326.0,PANKAJ KUMAR,13-Jun-2018 08:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Jun-2018 03:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST Registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,The bidders are required paver Machine and Mini Hot Plant for execution of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
