Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
02-Feb-2019 03:00 PM,11-Feb-2019 11:30 AM,02-Feb-2019 03:00 PM,11-Feb-2019 11:00 AM,NA ,NA ,02-Feb-2019 03:00 PM,11-Feb-2019 11:00 AM,21-Feb-2019 11:00 AM,1.0,DD - Demand Draft,"35,000",No,fixed,,Executive Engineer,HPPWD Division Dharampur,Executive Engineer,HPPWD Division Dharampur,PWD,21277-79 dt. 17.01.2019,2019_PWD_26588_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer,HPPWD Division Dharampur,No,C/o Link road Gharwasra Answai Kapahi Kalyun Sanour road Km 0/0 to 9/0,Providing and laying WBM-G-II and 20mm thick premix carpet surfacing in Km 7/0 to 9/0,Please refer tender documents  ,NA ,"18,28,953",Civil Works - Roads,NA ,Tender,120.0,90.0,Dharampur,175040.0,NA ,NA ,NA ,Dharampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",AOC,Finance,"Executive Engineer, HPPWD Division Dharampur Assistant Engineer HPPWD Sub Division Dharampur Supdtt GrII HDM HPPWD Division Dharampur",Eshant Thakur,26-Feb-2019 10:46 AM,finance_37708.pdf,BOQ Comparative Chart,1.0,111847.0,SUNIL KUMAR,INR,"2,757,405",1.0,111770.0,Jagdish Chand,10-Feb-2019 12:38 PM,Rejected-AOC,2nd lowest,27-May-2019 12:39 PM,Technical,"Executive Engineer, HPPWD Division Dharampur Assistant Engineer HPPWD Sub Division Dharampur Divisional Accountant HPPWD Division Dharampur Supdtt GrII HDM HPPWD Division Dharampur",Anil Kumar Sharma,12-Feb-2019 11:34 AM,technical_37708.pdf,Executive Engineer,Internal,Executive Engineer HPPWD Division Dharampur Assistant Engineer HPPWD Division Dharampur Supdtt GrII HDM HPPWD Division Dharampur,Eshant Thakur,20-Feb-2019 03:04 PM,21-Feb-2019 11:00 AM,techsummary_37708.pdf (319.17 KB),PWD,2019_PWD_26588_1,21277-79 dt. 17.01.2019,C/o Link road Gharwasra Answai Kapahi Kalyun Sanour road Km 0/0 to 9/0,27-May-2019,"INR 2,757,405",90.0,Anil Kumar Sharma,27-May-2019 12:39 PM,23.PDF (1075.00 KB),Work awarded to Sh. Sunil Kumar amounting to Rs.2757405 vide this office letter No. 2588-95 dt. 27.05.2019,Executive Engineer,Internal,Executive Engineer HPPWD Division Dharampru Assistant Engineer HPPWD Sub Division Dharampur Supdtt GrII HDm HPPWD Division Dharampur,Eshant Thakur,26-Feb-2019 10:58 AM,finsummary_37708.pdf (318.21 KB),AOC
,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",AOC,,,,,,,,,,,,2.0,111460.0,Kusum Lata Govt Contractor,07-Feb-2019 05:44 PM,Rejected-Technical,Non Responsive,20-Feb-2019 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23) ,GST Registration (TIN No.)(General Rule No.21)",AOC,,,,,,,,,,,,3.0,111758.0,Pardeed Kumar,10-Feb-2019 12:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Feb-2019 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and Work In Hand Certificate (General Rule No.19),AOC,,,,,,,,,,,,4.0,111847.0,SUNIL KUMAR,10-Feb-2019 06:11 PM,Accepted-AOC,1st lowest,27-May-2019 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration No. of EPF,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavits regarding all the Information furnished with the bid are correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor should not have more than two works each of Rs. 100 Lacs or more.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
