Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ErPardeepKumarBhardwaj,Internal,Sh AmarSinghVermaHDMShManojkumarsupdtGRthakurSrDAO,Pradeep Kumar Bhardwaj,06-May-2019 01:36 PM,finsummary_39814.pdf (640.30 KB),06-May-2019,"INR 1,427,844",60.0,Pradeep Kumar Bhardwaj,06-May-2019 01:40 PM,AOC27897_1.pdf (1586.00 KB),AOC,PWD,2019_PWD_27897_1,SD-I-CTR-28069 dt 14-02-2019,(iii) Annual Surfacing on Cheog to Dharech Road Km 0/00 to 7/400 (SH Providing and Laying Bituminous Concrete 25 mm thick in Km. 6/00 to 7/400) (UNDER AMP-2019-20) (Village Road),ErPardeepKumarBhardwaj,Internal,Sh AmarSinghVermaHDMShManojKumarsupdtGeetaGRThakurSrDAO,Rajeev Shaunak,07-Mar-2019 12:54 PM,07-Mar-2019 03:00 PM,techsummary_39814.pdf (641.73 KB),Technical,Bid opening summary,Rajeev Shaunak,07-Mar-2019 12:33 PM,technical_39814.pdf,1.0,117173.0,lov vij govt contractor,05-Mar-2019 02:52 PM,Accepted-AOC,Awarded,06-May-2019 01:40 PM,Finance,Bid opening summary,Rajeev Shaunak,12-Mar-2019 01:23 PM,finance_39814.pdf,BOQ Comparative Chart,1.0,117173.0,lov vij govt contractor,INR,"1,440,499",AOC,"28,600",No,fixed,,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,500.0,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,No,1.0,DD - Demand Draft,26-Feb-2019 06:00 PM,06-Mar-2019 11:00 AM,26-Feb-2019 06:00 PM,05-Mar-2019 04:00 PM,NA ,NA ,26-Feb-2019 06:00 PM,05-Mar-2019 04:00 PM,07-Mar-2019 03:00 PM,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),PWD,SD-I-CTR-28069 dt 14-02-2019,2019_PWD_27897_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,(iii) Annual Surfacing on Cheog to Dharech Road Km 0/00 to 7/400 (SH Providing and Laying Bituminous Concrete 25 mm thick in Km. 6/00 to 7/400) (UNDER AMP-2019-20) (Village Road),(iii) Annual Surfacing on Cheog to Dharech Road Km 0/00 to 7/400 (SH Providing and Laying Bituminous Concrete 25 mm thick in Km. 6/00 to 7/400) (UNDER AMP-2019-20) (Village Road),As per SBD ,NA ,"14,27,844",Civil Works,NA ,Tender,120.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-I HPPWD Shimla-3,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
