S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,113054.0,SAI GLOBAL NATURE CARE,INR,"7,986,858","HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2018_HPIPH_25646_1,14695-14794,Providing Sewage Treatment Plant for Eco friendly Market at Marhi in Tehsil Manali District Kullu HP,Superintending Engineer,Internal,,Keshav Ram Kulvi,31-May-2019 12:47 PM,finsummary_35900.pdf (2509.33 KB),Superintending Engineer,Internal,,Keshav Ram Kulvi,06-Apr-2019 10:37 AM,06-Apr-2019 11:00 AM,techsummary_35900.pdf (43.93 KB),1.0,112830.0,DISHA Water Treatments Pvt.ltd.,15-Feb-2019 05:58 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,06-Apr-2019 10:34 AM,Finance,SUMMARY,Keshav Ram Kulvi,31-May-2019 12:42 PM,finance_35900.pdf,BOQ Comparative Chart,Technical,Summary,Keshav Ram Kulvi,06-Apr-2019 10:34 AM,technical_35900.pdf,31-May-2019,"INR 7,986,858",180.0,Keshav Ram Kulvi,31-May-2019 12:52 PM,SAIGLOBAL.pdf (2509.00 KB),AOC,28-Dec-2018 05:10 PM,18-Feb-2019 11:30 AM,29-Dec-2018 10:00 AM,16-Feb-2019 05:00 PM,NA ,NA ,30-Dec-2018 10:00 AM,16-Feb-2019 05:00 PM,06-Apr-2019 11:00 AM,1.0,DD - Demand Draft,Providing Sewage Treatment Plant for Eco friendly Market at Marhi in Tehsil Manali District Kullu HP,"Design, Supply, construction, installation and commissioning of 0.20 MLD STP based on MBBR technology including ancillary works and operation , running and maintenance of 3 Years after stabilisation of plant",Please refer Tender documents. ,NA ,"75,01,017",Civil Works,NA ,Tender,120.0,180.0,IPH Division No I Kullu,175101.0,NA ,NA ,NA ,IPH Division No I Kullu,No ,No,1.0,Extension of Date,Date,,1.0,Fee,.pdf,Earnest Money or exemption certificate along with affidavit,"1,07,510",Yes,fixed,,Executive Engineer,IPH Division No I Kullu,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",14695-14794,2018_HPIPH_25646_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,Executive Engineer,IPH Division No I Kullu,800.0,Executive Engineer,IPH Division No I Kullu,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,107515.0,GREEN ENVIRONMENTAL TECHNOLOGIES,16-Feb-2019 01:07 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,06-Apr-2019 10:34 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,2.0,AMENDMENTS,Other,,,,.pdf,Cost of tender Form,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,109350.0,Rebound Enviro Tech Private Limited,03-Feb-2019 12:35 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,06-Apr-2019 10:34 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,112990.0,RYSA Infratech,15-Feb-2019 01:01 PM,Rejected-AOC,L3,31-May-2019 12:52 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No GST registration and latest Income tax return,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,113054.0,SAI GLOBAL NATURE CARE,15-Feb-2019 05:02 PM,Accepted-AOC,L1,31-May-2019 12:52 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding studying tender document carefully,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,111250.0,SBA EVIRO SYSTEMS PRIVATE LIMITED,06-Feb-2019 05:29 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,06-Apr-2019 10:34 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding DSC,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7.0,111439.0,Triveni Constructions,16-Feb-2019 11:11 AM,Rejected-AOC,L2,31-May-2019 12:52 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience certificate as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per Check List,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Bid as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
