Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EE SNR,Internal,AE Suket HDM DAO Supdt,Naresh Raj Chandel,22-May-2019 05:36 PM,finsummary_22458.pdf (206.02 KB),22-May-2019,"INR 813,712.42",30.0,Naresh Raj Chandel,22-May-2019 05:40 PM,AOC.pdf (4672.00 KB),AOC issued after negotiation.,PWD,2017_PWD_16548_1,PW-SNR-CB-E-Te.G.R./16-631-36 dt. 18-04-2017,Annual Surfacing on Mahadev to Dinak road PMGSY,Er Virender Singh Guleria,Internal,Er Virender Singh Guleria Chairmen Sh Chaman Singh Member Sh Sushil Kumar Member Sh Dinesh Kumar Member Sh Bhupesh Sharma Member,Virender Singh Guleria,08-Jun-2017 01:08 PM,08-Jun-2017 02:00 PM,techsummary_22458.pdf (394.76 KB),Finance,Summary,Pradeep Singh,13-Apr-2018 11:45 AM,finance_22458.pdf,BOQ Comparative Chart,1.0,61468.0,Anoop kumar,INR,"803,144",Technical,BidOpeningSummaryMahadevDinakRoad,Virender Singh Guleria,08-Jun-2017 12:18 PM,technical_22458.pdf,1.0,61468.0,Anoop kumar,04-Jun-2017 07:22 PM,Accepted-AOC,L-1,22-May-2019 05:40 PM,AOC,26-May-2017 10:00 AM,05-Jun-2017 11:00 AM,26-May-2017 11:00 AM,05-Jun-2017 10:00 AM,26-May-2017 11:00 AM ,03-Jun-2017 05:00 PM ,26-May-2017 11:00 AM,05-Jun-2017 10:00 AM,08-Jun-2017 02:00 PM,1.0,DD - Demand Draft,PWD,PW-SNR-CB-E-Te.G.R./16-631-36 dt. 18-04-2017,2017_PWD_16548_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,In Sunder Nagar Division HPPWD,O/O Executive Engineer Sunder Nagar Division HPPWD,Annual Surfacing on Mahadev to Dinak road PMGSY,SH Providing and Laying 25mm thick bituminous concrete including profile correction in KM 1/0 to 2/100,As per tender documents. ,NA ,"7,84,711",Civil Works - Bridges,NA ,Tender,120.0,30.0,Sunder Nagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"16,000",No,fixed,,E.E. Sunder Nagar Division HPPWD,In Sunder Nagar Division HPPWD,350.0,E.E. Sunder Nagar Division HPPWD,In Sunder Nagar Division HPPWD,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,61314.0,"Prem Lal, govt. Contractor",01-Jun-2017 11:53 AM,Rejected-Technical,Non-Responsive,08-Jun-2017 01:08 PM,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,61334.0,S.A ASSOCIATE,04-Jun-2017 11:01 AM,Rejected-AOC,Being L-2,22-May-2019 05:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration general rules No. 21,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration as per clause 25 A,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,AOC
