Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
22-May-2019,"INR 1,058,953.27",30.0,Naresh Raj Chandel,22-May-2019 05:31 PM,AOC.pdf (4672.00 KB),AoC issued after negotiation,SE 1st Circle Mandi,Internal,EE SNR EE(D) Mandi CHD Supdt Works,Naresh Raj Chandel,22-May-2019 05:15 PM,finsummary_22459.pdf (207.76 KB),Er Virender Singh Guleria,Internal,Er Virender Singh Guleria Chairmen Sh Chaman Singh Member Sh Sushil Kumar Member Sh Dinesh Kumar Member Sh Bhupesh Sharma Member,Virender Singh Guleria,08-Jun-2017 01:04 PM,08-Jun-2017 02:00 PM,techsummary_22459.pdf (389.96 KB),PWD,2017_PWD_16549_1,PW-SNR-CB-E-Te.G.R./16-631-36 dt. 18-4-2017,Annual Surfacing on Salwana to Jeor road PMGSY,Technical,BidOpeningSummarySalwanaJeorRoad,Virender Singh Guleria,08-Jun-2017 12:21 PM,technical_22459.pdf,1.0,61467.0,Anoop kumar,04-Jun-2017 08:37 PM,Accepted-AOC,being L-1,22-May-2019 05:31 PM,Finance,Summary,Pradeep Singh,03-Apr-2018 11:22 AM,finance_22459.pdf,BOQ Comparative Chart,1.0,61467.0,Anoop kumar,INR,"1,046,464",AOC,E.E. Sunder Nagar Division HPPWD,O/O Executive Engineer Sunder Nagar Division HPPWD,350.0,E.E. Sunder Nagar Division HPPWD,In Sunder Nagar Division HPPWD,No,26-May-2017 10:00 AM,05-Jun-2017 11:00 AM,26-May-2017 11:00 AM,05-Jun-2017 10:00 AM,26-May-2017 11:00 AM ,03-Jun-2017 05:00 PM ,26-May-2017 11:00 AM,05-Jun-2017 10:00 AM,08-Jun-2017 02:00 PM,1.0,DD - Demand Draft,"19,000",No,fixed,,E.E. Sunder Nagar Division HPPWD,In Sunder Nagar Division HPPWD,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,PWD,PW-SNR-CB-E-Te.G.R./16-631-36 dt. 18-4-2017,2017_PWD_16549_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Annual Surfacing on Salwana to Jeor road PMGSY,SH Providing and Laying 25mm thick bituminous concrete including profile correction in KM 3/0 to 4/0 and 6/300 to 6/600,As per tender documents. ,NA ,"9,27,363",Civil Works,NA ,Tender,120.0,30.0,Sunder Nagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,61316.0,"Prem Lal, govt. Contractor",01-Jun-2017 12:07 PM,Rejected-Technical,Non-Responsive,08-Jun-2017 01:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,61449.0,S.A ASSOCIATE,04-Jun-2017 11:14 AM,Rejected-AOC,Being L-2,22-May-2019 05:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration as per clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
