S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,119749.0,Revti Ram,INR,"51,284,408",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,2019_UDDHP_28441_1,MCK/TEND/1979,Development of Storm Water Drainage Along Road and Path Zone-2,Vice President Gopal Kishan Mahant,Internal,Vice President Gopal Kishan Mahant EO MC Kullu JE MC Kullu,Sachin Thakur,23-May-2019 05:11 PM,finsummary_40888.pdf (195.58 KB),1.0,119749.0,Revti Ram,25-Mar-2019 07:37 PM,Accepted-AOC,L1,24-May-2019 11:22 AM,Gopal Kishan Mahant,Internal,VICE PRESIDENT GOPAL KRISHAN MAHANT EO MC KULLU JE MC KULLU,Sachin Thakur,09-Apr-2019 10:49 AM,09-Apr-2019 11:00 AM,techsummary_40888.pdf (100.90 KB),24-May-2019,"INR 51,284,408",360.0,Sachin Thakur,24-May-2019 11:22 AM,DrainZone2.pdf (669.00 KB),Contract Awarded,Technical,TECHNICALLY QUALIFIED,Sachin Thakur,09-Apr-2019 10:46 AM,technical_40888.pdf,Finance,Technically and Financially bid accepted,Sachin Thakur,23-May-2019 03:57 PM,finance_40888.pdf,BOQ Comparative Chart,AOC,Development of Storm Water Drainage Along Road and Path Zone-2,Development of Storm Water Drainage Along Road and Path Zone-2,Please refer Tender documents. ,NA ,"3,47,05,533",Civil Works,NA ,Tender,180.0,360.0,Kullu,175101.0,MC Kullu ,MC Kullu ,18-Mar-2019 03:30 PM ,MC Kullu,No ,No,1.0,Fee/PreQual/Technical,.pdf,ITB,"6,94,111",No,fixed,,EO MC Kullu,MC Kullu,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,MCK/TEND/1979,2019_UDDHP_28441_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,13-Mar-2019 02:00 PM,26-Mar-2019 04:00 PM,13-Mar-2019 02:00 PM,26-Mar-2019 12:00 PM,13-Mar-2019 02:00 PM ,18-Mar-2019 03:30 PM ,13-Mar-2019 04:00 PM,26-Mar-2019 12:00 PM,09-Apr-2019 11:00 AM,500.0,EO MC Kullu,MC Kullu,No,EO MC Kullu,MC Kullu,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Specification,,,,,,,2,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Notice,,,,,,,3,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Drawing,,,,,,,4,Financial Details ,P/ L and Balance Sheet 2008-2009 ,P/ L and Balance Sheet 2008-2009 ,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,5,Financial Details ,P/ L and Balance Sheet 2009-2010 ,P/ L and Balance Sheet 2009-2010 ,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,P/L and Balance Sheet 2010-2011 ,P/L and Balance Sheet 2010-2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
