Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
25-May-2019,"INR 2,303,006",365.0,Arvind Lakhanpal,25-May-2019 10:57 AM,23326.PDF (1502.00 KB),Executive Engineer,Internal,,Arvind Lakhanpal,25-May-2019 10:55 AM,finsummary_32640.pdf (1502.29 KB),Executive Engineer,Internal,"Assistant Engineer Sarkaghat, HDM, Supdt. Gr.-II, Divisional Accountant",Mahesh Rana,11-Sep-2018 07:04 PM,12-Sep-2018 10:00 AM,techsummary_32640.pdf (1434.26 KB),PWD,2018_PWD_23326_1,PW-SKT-CB-Tender/2018-6880-82 dt. 13.08.2018,"Construction of PWD Rest House building at Jamni in Tehsil Sarkaghat, Distt. Mandi (HP)",Finance,OK,Mahesh Rana,12-Sep-2018 11:27 AM,None,BOQ Comparative Chart,1.0,94125.0,Aswani Kumar,INR,"2,303,006",Technical,All documents are found correct by the bidders in Technical Opening.,Mahesh Rana,11-Sep-2018 12:19 PM,None,1.0,94125.0,Aswani Kumar,10-Sep-2018 10:06 AM,Accepted-AOC,Award dt. 20.12.2018,25-May-2019 10:57 AM,AOC,"Construction of PWD Rest House building at Jamni in Tehsil Sarkaghat, Distt. Mandi (HP)",(SH- Construction of building portion including W.S. and S.I in ground floor above plinth level except basement).,Please refer Tender documents. ,NA ,"17,66,128",Civil Works - Buildings,NA ,Tender,90.0,365.0,SARKAGHAT,175024.0,SARKAGHAT ,"EXECUTIVE ENGINEER, SARKAGHAT DIVISION, HPPWD, SARKAGHAT  ",05-Sep-2018 06:40 PM ,SARKAGHAT,No ,No,"34,000",No,fixed,,EE Sarkaghat,Sarkaghat,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,05-Sep-2018 06:40 PM,10-Sep-2018 06:45 PM,05-Sep-2018 06:40 PM,10-Sep-2018 06:40 PM,05-Sep-2018 06:40 PM ,10-Sep-2018 11:00 AM ,05-Sep-2018 06:40 PM,10-Sep-2018 06:40 PM,12-Sep-2018 10:00 AM,EXECUTIVE ENGINEER,"EXECUTIVE ENGINEER, SARKAGHAT DIVISION, HPPWD, SARKAGHAT",500.0,EE Sarkaghat,Sarkaghat,No,PWD,PW-SKT-CB-Tender/2018-6880-82 dt. 13.08.2018,2018_PWD_23326_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,94084.0,Jay Kumar,09-Sep-2018 12:54 PM,Rejected-Finance,L2,25-May-2019 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,94086.0,Mr. Sohan Lal,09-Sep-2018 01:06 PM,Rejected-Technical,Non Responsive,11-Sep-2018 07:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Contractor Registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,94150.0,Ramesh Saswal,10-Sep-2018 04:48 PM,Rejected-Technical,Non Responsive,11-Sep-2018 07:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
