S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
1.0,108706.0,Er.Ajay Rathor,INR,"23,873,405",Finance,summary,Shubham Aggarwal,02-Feb-2019 04:28 PM,finance_36443.pdf,BOQ Comparative Chart,Technical,summary,Mahesh Kanwar,31-Jan-2019 04:49 PM,None,1.0,108058.0,Bharat Bhushan Verma,24-Jan-2019 03:42 PM,Rejected-Finance,Non Responsive,29-May-2019 03:56 PM,29-May-2019,"INR 20,990,108",540.0,Satish Chand,29-May-2019 03:59 PM,AOC1.pdf (458.00 KB),AOC,Er Mahesh Kanwar,Internal,BR Bragta Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Satish Chand,29-May-2019 03:56 PM,finsummary_36443.pdf (307.96 KB),Er Mahesh Kanwar,Internal,BR Bragta Sr DAO Lekh Ram Shandil HDM Smt. Leela Verma Sr Asstt,Mahesh Kanwar,01-Feb-2019 05:09 PM,01-Feb-2019 05:10 PM,techsummary_36443.pdf (288.66 KB),PWD,2019_PWD_25911_2,.PW.THD.CB-tender.18-13321-32 dt. 1.1.2019,C.o road Chillari Mode to Lower Kiara Via Kadarot Km 0.0 to 3.465 SH Formation Cutting 5.7 mtrs Wide i.c R.walls and B.wall Cross drainage work P.L Granular Sub Base M.T works Road side V.shape drain Road side parapets essential and Dumping,AOC,"5,000",EE Theog,HP PWD Theog,No,Executive Engineer,HP PWD Division Theog,"2,42,400",Yes,fixed,,EE Theog,HP PWD Theog,11-Jan-2019 05:30 PM,28-Jan-2019 11:00 AM,11-Jan-2019 05:30 PM,24-Jan-2019 06:00 PM,NA ,NA ,11-Jan-2019 05:30 PM,24-Jan-2019 06:00 PM,01-Feb-2019 05:10 PM,C.o road Chillari Mode to Lower Kiara Via Kadarot Km 0.0 to 3.465 SH Formation Cutting 5.7 mtrs Wide i.c R.walls and B.wall Cross drainage work P.L Granular Sub Base M.T works Road side V.shape drain Road side parapets essential and Dumping,C.o road Chillari Mode to Lower Kiara Via Kadarot Km 0.0 to 3.465 SH Formation Cutting 5.7 mtrs Wide i.c R.walls and B.wall Cross drainage work P.L Granular Sub Base M.T works Road side V.shape drain Road side parapets essential and Dumping,Please refer Tender documents. ,NA ,"2,09,89,978",Civil Works - Roads,NA ,Tender,90.0,540.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,PWD,.PW.THD.CB-tender.18-13321-32 dt. 1.1.2019,2019_PWD_25911_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,108706.0,Er.Ajay Rathor,22-Jan-2019 04:46 PM,Accepted-AOC,Responsive,29-May-2019 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money deposit (as Schedule-F.),2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,108624.0,lov vij govt contractor,23-Jan-2019 07:38 PM,Rejected-Finance,Non Responsive,29-May-2019 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,AOC
,,,,,,,,,,,,,,,,4.0,108936.0,Madan Lal Verma,24-Jan-2019 12:15 PM,Rejected-Finance,Non Responsive,29-May-2019 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done As Per General Rule 19,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand As Per General Rule 19,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,AOC
