Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
350.0,EE Hamirpur,EE Hamirpur,No,"16,000",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,C/O link road to Harizan Basti Bari Dug,2019_PWD_26010_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,C/O link road to Harizan Basti Bari Dug Km 0/0 to 2/270,SH Construction of 5/7 metre Wide Road Formation Cutting Km 1/500 to 1/635,Please refer Tender documents. ,NA ,"7,98,445",Civil Works - Roads,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,17-Jan-2019 09:00 AM,24-Jan-2019 11:30 AM,17-Jan-2019 09:00 AM,24-Jan-2019 10:30 AM,NA ,NA ,17-Jan-2019 09:00 AM,24-Jan-2019 10:30 AM,05-Feb-2019 11:00 AM,EE Hamirpur,Executive Engineer HPPWD Hamirpur,AOC,PWD,2019_PWD_26010_1,C/O link road to Harizan Basti Bari Dug,C/O link road to Harizan Basti Bari Dug Km 0/0 to 2/270,1.0,109112.0,ankush kapil,23-Jan-2019 06:07 PM,Rejected-AOC,l2,30-May-2019 05:00 PM,AOC
,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,108996.0,ASHWANI KUMAR GOVT. CONTRACTOR,22-Jan-2019 06:11 PM,Rejected-AOC,l6,30-May-2019 05:00 PM,AOC
,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,109141.0,Divender kumar,23-Jan-2019 07:51 PM,Rejected-AOC,l3,30-May-2019 05:00 PM,AOC
,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4.0,109175.0,Gulam mohammad,24-Jan-2019 09:41 AM,Rejected-Technical,Rejected,03-Feb-2019 06:19 PM,AOC
,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5.0,109170.0,JEET CHAND GOVT. CONTRACTOR,24-Jan-2019 08:55 AM,Rejected-Technical,Rejected,03-Feb-2019 06:19 PM,AOC
,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6.0,109002.0,MANOHAR LAL GOVT CONTRACTOR,22-Jan-2019 06:52 PM,Accepted-AOC,l1,30-May-2019 05:00 PM,AOC
,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7.0,109015.0,MOHINDER PAL GOVT. CONTRACTOR,23-Jan-2019 08:18 PM,Rejected-AOC,l5,30-May-2019 05:00 PM,AOC
,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8.0,109014.0,subhash chand,23-Jan-2019 09:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Feb-2019 09:21 PM,AOC
,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9.0,109125.0,SURESH KUMAR GOVT CONT,23-Jan-2019 06:55 PM,Rejected-AOC,l4,30-May-2019 05:00 PM,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,AOC
