Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"5,000",E.E. Sunder Nagar Division HPPWD,In Sunder Nagar Division HPPWD,No,"5,00,000",No,fixed,,E.E. Sunder Nagar Division HPPWD,In Sunder Nagar Division HPPWD,1.0,DD - Demand Draft,PWD,PW-SNR-CB-E-TR/16-19889-95 dt. 25-3-17,2017_PWD_17067_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,01-Jul-2017 10:00 AM,31-Jul-2017 11:30 AM,01-Jul-2017 11:00 AM,31-Jul-2017 11:00 AM,01-Jul-2017 11:00 AM ,29-Jul-2017 05:00 PM ,01-Jul-2017 11:00 AM,31-Jul-2017 11:00 AM,08-Aug-2017 02:00 PM,Construction of 156.00 mtr span Motorable Bridge over river Satluj connecting Dhawal (Slapper Tattapani with Slapper(Slapper Harnoda) Tehsil Sundernagar Distt. Mandi (HP),"SH Construction of sub structure, Super structure, Protection work, C/o approaches, R/wall, M/T for Approaches and Essential Parapets for approaches BBMB Deposit",As per tender documents. ,NA ,"6,47,67,071",Civil Works,NA ,Tender,120.0,730.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,E.E. Sunder Nagar Division HPPWD,E.E. Sunder Nagar Division HPPWD,AOC,Er Virender Singh Guleria,Internal,Er Virender Singh Guleria Chairman Er Hitesh Kumar Member Sh Sushil Kumar Member Sh Dinesh Sen Member Sh Pravesh Sharma Member,Virender Singh Guleria,08-Aug-2017 01:11 PM,08-Aug-2017 02:00 PM,techsummary_23189.pdf (731.08 KB),PWD,2017_PWD_17067_1,PW-SNR-CB-E-TR/16-19889-95 dt. 25-3-17,Construction of 156.00 mtr span Motorable Bridge over river Satluj connecting Dhawal (Slapper Tattapani with Slapper(Slapper Harnoda) Tehsil Sundernagar Distt. Mandi (HP),CE (MZ),Internal,"SE (D and W) MZ SE 1st Circle, EE (D) EE SRN Planning Officer (Road) Dy. Contr. (F and A) MZ",Naresh Raj Chandel,22-May-2019 05:49 PM,finsummary_23189.pdf (206.02 KB),1.0,64504.0,Ajay Kumar Sharma,30-Jul-2017 04:59 PM,Rejected-AOC,not found lowest,22-May-2019 06:02 PM,Technical,Technicalbidopeningsummary,Virender Singh Guleria,31-Jul-2017 05:07 PM,technical_23189.pdf,Finance,Summary,Pradeep Singh,13-Apr-2018 11:29 AM,finance_23189.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,64841.0,MS ANIL KUAMR GUPTA,30-Jul-2017 03:29 PM,Accepted-AOC,Being L-1,22-May-2019 06:02 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3.0,64842.0,M.S JAGDISH CHAND GUPTA,30-Jul-2017 04:22 PM,Rejected-Technical,Non-Responsive,08-Aug-2017 01:11 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4.0,64541.0,Vijay Kumar Sharma,30-Jul-2017 05:14 PM,Rejected-AOC,not found lowest,22-May-2019 06:02 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5.0,64817.0,V K Gupta and Associates,30-Jul-2017 09:04 PM,Rejected-AOC,not found lowest,22-May-2019 06:02 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration as per clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
