S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",500.0,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,Yes,Periodic maintenance of Kufri Kheel Lohara road (HP0804VR0092) (other than PMGSY road ) under annual maintenance Plan for the year 2019-20,Providing and laying 25mm thick bituminous concrete including profile correction in Km. 0/0 to 1/500,Please refer Tender documents. ,NA ,"13,39,166",Civil Works,NA ,Tender,120.0,31.0,EE MANDI DIVISION NO-I HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-I HPPWD MANDI,No ,No,PWD,MDI-KUFRRI KHEEL LOHARA,2019_PWD_26648_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,04-Feb-2019 05:00 PM,18-Feb-2019 11:30 AM,04-Feb-2019 05:00 PM,18-Feb-2019 10:30 AM,NA ,NA ,04-Feb-2019 05:00 PM,18-Feb-2019 10:30 AM,26-Feb-2019 01:00 PM,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,"26,800",Yes,fixed,,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,AOC,1.0,113226.0,ANURAG SHARMA,17-Feb-2019 03:26 PM,Rejected-Finance,L2,20-May-2019 10:20 AM,Technical,Summary,Jitender Kumar,26-Feb-2019 12:12 PM,technical_37850.pdf,Finance,Bid opening Summary,Pradeep Singh,20-May-2019 10:06 AM,finance_37850.pdf,BOQ Comparative Chart,PWD,2019_PWD_26648_1,MDI-KUFRRI KHEEL LOHARA,Periodic maintenance of Kufri Kheel Lohara road (HP0804VR0092) (other than PMGSY road ) under annual maintenance Plan for the year 2019-20,ER PRADEEP SINGH,Internal,,Jitender Kumar,26-Feb-2019 12:14 PM,26-Feb-2019 01:00 PM,techsummary_37850.pdf (434.59 KB),AOC
2.0,FDR - Fixed Deposit,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,113213.0,P. L. SHARMA,17-Feb-2019 03:24 PM,Accepted-AOC,L1,29-May-2019 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
