Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
ER PRADEEP SINGH,Internal,,Dharminder Kumar Verma,29-May-2019 10:59 AM,finsummary_32915.pdf (118.26 KB),29-May-2019,"INR 2,713,615",180.0,Dharminder Kumar Verma,29-May-2019 11:26 AM,26648.pdf (297.00 KB),PWD,2018_PWD_23548_1,MDI-I--BALANCE WORK SCHOOL BUILDING DHAR,Construction of Balance work of additional accommodation for Government Senior Secondary School Building at Dhar Tehsil Padhar District Mandi (H P) under SCSP,ER JITENDER KUMAR,Internal,HDM SUPDT DAO AE,Jitender Kumar,15-Oct-2018 03:29 PM,15-Oct-2018 03:40 PM,techsummary_32915.pdf (286.69 KB),Finance,financialsummary,Jitender Kumar,18-Oct-2018 11:02 AM,finance_32915.pdf,BOQ Comparative Chart,1.0,96704.0,PREM SINGH,INR,"2,713,615",Technical,Summary,Jitender Kumar,15-Oct-2018 03:23 PM,technical_32915.pdf,1.0,96704.0,PREM SINGH,03-Oct-2018 04:17 PM,Accepted-AOC,L1,29-May-2019 11:26 AM,AOC,1.0,DD - Demand Draft,PWD,MDI-I--BALANCE WORK SCHOOL BUILDING DHAR,2018_PWD_23548_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Balance work of additional accommodation for Government Senior Secondary School Building at Dhar Tehsil Padhar District Mandi (H P) under SCSP,Construction of 4 nos. Class rooms with staircase and vernadah,Please refer Tender documents. ,NA ,"19,00,495",Civil Works,NA ,Tender,120.0,180.0,EE MANDI DIVISION NO-I HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-I HPPWD MANDI,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,13-Sep-2018 05:10 PM,04-Oct-2018 11:30 AM,13-Sep-2018 05:10 PM,04-Oct-2018 10:30 AM,NA ,NA ,13-Sep-2018 05:10 PM,04-Oct-2018 10:30 AM,15-Oct-2018 03:40 PM,500.0,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,Yes,"36,100",Yes,fixed,,EE MANDI DIVISION NO-I HPPWD MANDI,EE MANDI DIVISION NO-I HPPWD MANDI,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,AOC
