Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
07-Feb-2019 10:00 AM,22-Feb-2019 11:30 AM,07-Feb-2019 10:00 AM,21-Feb-2019 06:00 PM,NA ,NA ,07-Feb-2019 10:00 AM,21-Feb-2019 06:00 PM,05-Mar-2019 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"14,900",No,fixed,,EE Dehra,Dehra,PWD,EE Dehra letter No. 14100-49 dt 29.01.2019,2019_PWD_26715_24,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Dehra Division HPPWD Dehra,Periodic Renewal on Bankhandi to Paisa Road for the year 2019-20 under village roads,Providing and Laying 25mm thick Bituminous concrete with paver finisher in Km 5/750 to 6/810).,Please refer to tender documents ,NA ,"7,43,453",Civil Works - Roads,NA ,Tender,120.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,1.0,DD - Demand Draft,350.0,EE Dehra,Dehra,No,AOC,24-May-2019,"INR 743,453",30.0,Hem Raj,24-May-2019 08:55 PM,Bankhandi-to-Paisa-26715_24.pdf (898.00 KB),Award Letter,1.0,113704.0,V.B. Construction Co.,INR,"871,611",Er. G. S. Rana EE,Internal,"Hem Raj AE to EE, Dilip Jha DAO, Sh. Anoop Kumar Supdt, Sh. Ravinder Kumar HDM",Hem Raj,24-May-2019 06:26 PM,finsummary_38085.pdf (925.56 KB),PWD,2019_PWD_26715_24,EE Dehra letter No. 14100-49 dt 29.01.2019,Periodic Renewal on Bankhandi to Paisa Road for the year 2019-20 under village roads,Finance,Financial bid opened,Hem Raj,23-May-2019 10:31 PM,finance_38085.pdf,BOQ Comparative Chart,Er. G. S. Rana EE,Internal,"Er. Hem Raj AE to EE, Sh. Dilip Jha DAO, Sh. Anup Kumar Supdt, Sh. Ravinder Kumar HDM",Gurcharan Singh Rana,03-Mar-2019 09:43 AM,05-Mar-2019 11:30 AM,techsummary_38085.pdf (925.41 KB),Technical,Technical bid opened on 22.02.2019,Gurcharan Singh Rana,02-Mar-2019 08:25 PM,technical_38085.pdf,1.0,113704.0,V.B. Construction Co.,19-Feb-2019 06:23 PM,Accepted-AOC,Being L1,24-May-2019 08:55 PM,AOC
,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113787.0,VIRENDER PRASHAD SHARMA,21-Feb-2019 12:04 PM,Rejected-Finance,Being L2,24-May-2019 06:26 PM,AOC
,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Sales Tax/GST Registration (TIN No.)(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952(As per General Rule No. 25(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
