Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
350.0,EE Gohar,Gohar,Yes,EEHPPWDGohar,Executive Engineer Gohar Division HPPWDGohar,Periodical Maintenance on Chail Gohar Pandoh road km.0/0 to 24/0 (SH Providing and Laying Bituminous Concrete 30 mm thick in Single layer in km.19/0 to 20/0).,(SH Providing and Laying Bituminous Concrete 30 mm thick in Single layer in km.19/0 to 20/0).,Please refer Tender documents. ,NA ,"9,67,177",Civil Works,NA ,Rate Contract,90.0,60.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,PWD,19777-96,2019_PWD_26745_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Feb-2019 05:00 PM,21-Feb-2019 11:30 AM,06-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,NA ,NA ,06-Feb-2019 05:30 PM,20-Feb-2019 05:00 PM,26-Feb-2019 02:00 PM,1.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,"19,400",Yes,fixed,,EE Gohar,Gohar,1.0,DD - Demand Draft,AOC,EE Ramesh Singh,Internal,"Chaman Lal AE, Rattan Lal Supdt. Bhagat Ram HDM.",Ramesh Singh,26-Feb-2019 12:43 PM,26-Feb-2019 02:00 PM,techsummary_38007.pdf (365.96 KB),PWD,2019_PWD_26745_1,19777-96,Periodical Maintenance on Chail Gohar Pandoh road km.0/0 to 24/0 (SH Providing and Laying Bituminous Concrete 30 mm thick in Single layer in km.19/0 to 20/0).,EE Ramesh Singh,Internal,Kehar Singh Supdt. Bhagat Ram HDM,Ramesh Singh,12-Apr-2019 12:46 PM,finsummary_38007.pdf (271.64 KB),1.0,111829.0,Rajesh Thakur,10-Feb-2019 04:22 PM,Accepted-AOC,Lowest,23-May-2019 02:58 PM,Technical,Technical Summery,Ramesh Singh,26-Feb-2019 12:09 PM,None,Finance,Financial Summary,Ramesh Singh,12-Apr-2019 12:44 PM,finance_38007.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,3.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,4.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work done condition Minimum one similar work done of amount not less than 40 percent Rule N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
