Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
EE Janjehli,Executive Engineer Seraj Division HP PWD Janjehli,C/o Govt Senior Secondary School building at Khunachi in Tehsil Rampur Distt Shimla (SH-C/o Building portion WS and SI rain harvesting system septic tank and site development),C/o Govt Senior Secondary School building at Khunachi in Tehsil Rampur Distt Shimla (SH-C/o Building portion WS and SI rain harvesting system septic tank and site development),Please refer Tender documents. ,NA ,"1,19,42,310",Civil Works,NA ,Tender,90.0,540.0,Janjehli,175047.0,NA ,NA ,NA ,EE Janjehli,No ,No,1.0,DD - Demand Draft,12-Oct-2018 01:00 PM,26-Oct-2018 11:00 AM,12-Oct-2018 01:30 PM,26-Oct-2018 09:00 AM,NA ,NA ,12-Oct-2018 01:30 PM,26-Oct-2018 09:00 AM,02-Nov-2018 09:00 AM,"5,000",EE Seraj at janjehli,Seraj at janjehli,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (General rule No. 26.1),"1,52,000",Yes,fixed,,EE Seraj at janjehli,Seraj at janjehli,PWD,No.PW.SRJ.ETender/2018 1276-1300 dated 28.08.2018,2018_PWD_24069_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,98511.0,ALAM CHAND,25-Oct-2018 02:50 PM,Rejected-AOC,third lowest,25-May-2019 05:39 PM,Technical,Summary,Krishan Kumar Kaushal,01-Nov-2018 06:03 PM,technical_33643.pdf,1.0,98572.0,Rajesh Thakur,INR,"15,674,428",Finance,proceeding,Manoj Kumar Sehgal,25-May-2019 05:35 PM,finance_33643.pdf,BOQ Comparative Chart,Er. K K Kaushal,Internal,Sh. Meg Singh Rana Supdt. Sh. Partap Thakur DHD,Krishan Kumar Kaushal,01-Nov-2018 06:15 PM,02-Nov-2018 09:00 AM,techsummary_33643.pdf (206.11 KB),PWD,2018_PWD_24069_1,No.PW.SRJ.ETender/2018 1276-1300 dated 28.08.2018,C/o Govt Senior Secondary School building at Khunachi in Tehsil Rampur Distt Shimla (SH-C/o Building portion WS and SI rain harvesting system septic tank and site development),25-May-2019,"INR 11,942,310",540.0,Manoj Kumar Sehgal,25-May-2019 05:39 PM,Awardletter.pdf (673.00 KB),Award letter,Er. K.K. Kaushal,Internal,DHD Supdt,Manoj Kumar Sehgal,25-May-2019 05:37 PM,finsummary_33643.pdf (146.55 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,.pdf,Earnest Money (General rule No. 26.2),,,,,,,,,,,,,,,,,,,,,AOC,2.0,98099.0,DEVINDER KUMAR RAWAT,25-Oct-2018 04:08 PM,Rejected-AOC,second lowest,25-May-2019 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,Contractor registration (General rule No. 26.3),,,,,,,,,,,,,,,,,,,,,AOC,3.0,98572.0,Rajesh Thakur,25-Oct-2018 12:42 PM,Accepted-AOC,first lowest,25-May-2019 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule No. 26.4),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(General rule 26.5),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant (General rule 26.6),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund and Miscellaneous Provision Act 1952 (General rule 25 A),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of Charted Accountant (General rule No.28.2 a),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done condition (General rule No. 28.2 b),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
