Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
EE Palampur,HPPWD Division Palampur,05-Feb-2019 04:00 PM,12-Feb-2019 11:30 AM,05-Feb-2019 04:05 PM,12-Feb-2019 11:00 AM,NA ,NA ,05-Feb-2019 04:10 PM,12-Feb-2019 11:00 AM,02-Mar-2019 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender doccument in shape of D.D. as per SBD.,Periodical maintenance of Parour Khas to Hangloh road upto Chachian under PMGSY Road (VR0068),Providing and laying 25mm thick Bitumen Concrete with paver finisher in Km. 9/000 to 10/000),Please refer Tender documents. ,NA ,"5,94,115",Civil Works - Roads,NA ,Tender,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,PWD,23237-277,2019_PWD_26672_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,350.0,EE Palampur,EE Palampur,No,"11,900",No,fixed,,EE Palampur,EE Palampur,AOC,Finance,Summary,Manish Sehgal,31-May-2019 02:39 PM,finance_38021.pdf,BOQ Comparative Chart,Technical,Summary,Vijay Kumar Verma,02-Mar-2019 11:33 AM,technical_38021.pdf,EE Manish Sehgal,Internal,"Er KC Dhiman AE Palampur, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Vijay Kumar Verma,02-Mar-2019 12:15 PM,02-Mar-2019 12:30 PM,techsummary_38021.pdf (1029.21 KB),1.0,111738.0,M/s Kamla Enterprises,10-Feb-2019 11:03 AM,Accepted-AOC,L1,31-May-2019 02:43 PM,31-May-2019,"INR 632,445",90.0,Manish Sehgal,31-May-2019 02:43 PM,File.PDF (1414.00 KB),AOC,1.0,111738.0,M/s Kamla Enterprises,INR,"872,025",EE Manish Sehgal,Internal,"Er KC Dhiman AE Palampur, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Harjeet Singh Supdt, Sh Manoj Kumar HDM",Manish Sehgal,31-May-2019 02:41 PM,finsummary_38021.pdf (519.23 KB),PWD,2019_PWD_26672_17,23237-277,Periodical maintenance of Parour Khas to Hangloh road upto Chachian under PMGSY Road (VR0068),AOC
,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,111755.0,Sanjeev,10-Feb-2019 12:03 PM,Rejected-Finance,L2,31-May-2019 02:41 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
