Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,C/O link road from Ropa to Ghanotla Km. 0/0 to 1/750,SH C/O 5/7 metre wide road formation Cutting C.D. Works GSB Tarring V-Shape Drain and Parapets Km. 0/0 to 1/750 in cluding 44.00 mtr. Span in two span of 22.00 mtr. Each RCC T-beam bridge over Dugh Khad at RD 0/535 RIDF-XXIII,Please refer Tender documents. ,NA ,"2,14,24,032",Civil Works - Roads,NA ,Tender,120.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,16-Nov-2018 06:00 PM,24-Nov-2018 03:00 PM,16-Nov-2018 06:00 PM,24-Nov-2018 10:30 AM,NA ,NA ,16-Nov-2018 06:00 PM,24-Nov-2018 10:30 AM,29-Nov-2018 03:30 PM,"2,47,000",No,fixed,,EE Hamirpur,EE Hamirpur,"5,000",EE Hamirpur,EE Hamirpur,No,EE Hamirpur,Executive Engineer HPPWD Division Hamirpur,1.0,DD - Demand Draft,PWD,C/O link road from Ropa to Ghanotla Km. 0/0 to 1/7,2018_PWD_24648_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,EEHamirpur,Internal,SupdtSrDAOHDMAEtoEE,Dev Raj,28-Nov-2018 07:11 PM,29-Nov-2018 03:30 PM,techsummary_34488.pdf (1077.92 KB),PWD,2018_PWD_24648_1,C/O link road from Ropa to Ghanotla Km. 0/0 to 1/7,C/O link road from Ropa to Ghanotla Km. 0/0 to 1/750,30-May-2019,"INR 29,673,239",365.0,Vivek Sharma,30-May-2019 03:33 PM,24648F.pdf (1556.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 02:44 PM,finsummary_34488.pdf (605.21 KB),Finance,Attached,Vivek Sharma,13-Apr-2019 12:42 PM,finance_34488.pdf,BOQ Comparative Chart,1.0,101313.0,anil thakur,INR,"299,861,723",1.0,101313.0,anil thakur,23-Nov-2018 10:58 AM,Accepted-AOC,l1,30-May-2019 03:33 PM,Technical,Attached,Dev Raj,26-Nov-2018 12:07 PM,technical_34488.pdf,AOC
,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,101468.0,ASHOK KUMAR THAKUR GOVT CONTRACTOR,23-Nov-2018 11:12 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Nov-2018 12:07 PM,,,,,,AOC
,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,101439.0,Praveen Kumar,23-Nov-2018 10:12 AM,Rejected-AOC,l2,30-May-2019 03:33 PM,,,,,,AOC
,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,The bidders are required paver Machine and Mini Hot Plant for execution of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Turn over Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
