S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,113191.0,MOHINDER PAL GOVT. CONTRACTOR,INR,"5,643,401",Finance,Attached,Vivek Sharma,25-May-2019 02:57 PM,finance_38555.pdf,BOQ Comparative Chart,Technical,Attached,Dev Raj,21-Feb-2019 07:08 PM,technical_38555.pdf,1.0,113191.0,MOHINDER PAL GOVT. CONTRACTOR,16-Feb-2019 04:14 PM,Accepted-AOC,l1,30-May-2019 07:09 PM,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,27-May-2019 11:43 AM,finsummary_38555.pdf (834.85 KB),30-May-2019,"INR 6,732,606",30.0,Vivek Sharma,30-May-2019 07:09 PM,27080F.pdf (1608.00 KB),Award,PWD,2019_PWD_27080_1,AM 2019-20 of Rural roads under Sujanpur Sub Div,AMP for the year 2019-2020 of Rural roads under Sujanpur Sub-Division,EEHamirpur,Internal,SupdtSrDAOAEtoEEHDM,Dev Raj,21-Feb-2019 08:14 PM,22-Feb-2019 03:00 PM,techsummary_38555.pdf (959.07 KB),AOC,"76,000",No,fixed,,EE Hamirpur,EE Hamirpur,PWD,AM 2019-20 of Rural roads under Sujanpur Sub Div,2019_PWD_27080_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,EE Hamirpur,Executive Engineer HPPWD Hamirpur,AMP for the year 2019-2020 of Rural roads under Sujanpur Sub-Division,1 AMP on Patlander Bhagolu Ree road Km 0/0 to 2/0 2 link road to Village Andhreli Brahamana Km 0/0 to 1/0 3 link road to Chalokhar Balh Sawahal Km Km. 1/0 to 2/0 4 link road to vill. Tapre Chauri Rangar Dhail Km 1/0 to 2/0 and 4/0 to 5/0,Please refer Tender documents. ,NA ,"4,55,65,176",Civil Works - Roads,NA ,Tender,60.0,30.0,HamirPur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"2,000",EE Hamirpur,EE Hamirpur,No,09-Feb-2019 12:10 PM,18-Feb-2019 11:30 AM,09-Feb-2019 12:10 PM,18-Feb-2019 10:30 AM,NA ,NA ,09-Feb-2019 12:10 PM,18-Feb-2019 10:30 AM,22-Feb-2019 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Detail of machinery as per SBD,AOC
,,,,,,,,,,,,,,,,2.0,113201.0,PANKAJ KUMAR,16-Feb-2019 05:14 PM,Rejected-AOC,l2,30-May-2019 07:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders are required paver Machine / Mini Hot Plant for execution of work in the radius of 30km,AOC
