Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Executive Engineer,HPPWD Division Dharampur,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",01-Feb-2019 05:00 PM,11-Feb-2019 11:30 AM,01-Feb-2019 05:00 PM,11-Feb-2019 11:00 AM,NA ,NA ,01-Feb-2019 05:00 PM,11-Feb-2019 11:00 AM,02-Mar-2019 03:00 PM,"1,500",Executive Engineer,HPPWD Dharampur,No,"49,000",No,fixed,,Executive Engineer,HPPWD Division Dharampur,PWD,20688-90 dt. 30.01.2019,2019_PWD_26530_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/o Missing CD on Mortan Greyoh road Km 0/0 to 2/500,Construction of 10.37 mtrs span culvert at RD 0/0,Please refer tender documents  ,NA ,"27,45,835",Civil Works - Roads,NA ,Tender,120.0,150.0,Tihra,175040.0,NA ,NA ,NA ,Dharampur,No ,No,1.0,DD - Demand Draft,AOC,Finance,Executive Engineer HPPWD Division Dharampur Assistant Engineer to Executive Engineer HPPWD Division Dharampur Supdtt GrII HDM HPPWD Division Dharampur,Eshant Thakur,02-Mar-2019 05:34 PM,finance_37631.pdf,BOQ Comparative Chart,1.0,111592.0,surender,INR,"3,680,134",1.0,111508.0,NARENDER THAKUR,08-Feb-2019 04:08 PM,Rejected-AOC,2nd lowest,27-May-2019 03:48 PM,Technical,"Executive Engineer HPPWD Division Dharampur Assistant Engineer HPPWD Sub Division Dharampur Diviional Accountant HPPWD Division Dharampur Sudptt , HDM HPPWD Division Dharampur",Anil Kumar Sharma,12-Feb-2019 11:05 AM,technical_37631.pdf,Executive Engineer,Internal,Executive Engineer HPPWD Division Dharampur Assistant Engineer to Executive Engineer HPPWD Division Dharampur Supdtt Gr II HDM HPPWD Division Dharampur,Eshant Thakur,02-Mar-2019 01:55 PM,02-Mar-2019 03:00 PM,techsummary_37631.pdf (327.46 KB),PWD,2019_PWD_26530_1,20688-90 dt. 30.01.2019,C/o Missing CD on Mortan Greyoh road Km 0/0 to 2/500,27-May-2019,"INR 3,680,134",150.0,Anil Kumar Sharma,27-May-2019 03:48 PM,66.PDF (1043.00 KB),Work awarded to Sh. Surender Kumar amounting to Rs. 3680134 /- vide this office letter No. 2673-80 dt. 27.05.2019,Executive Engineer,Internal,Executive Engineer HPPWD Division Dharampur Assistant Engineer to Executive Engineer HPPWD Division Dharampur HDM Supdtt GrII HPPWD Division Dharampur,Eshant Thakur,11-Apr-2019 10:49 AM,finsummary_37631.pdf (517.61 KB),AOC
,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,2.0,111749.0,Ramesh Guleria,11-Feb-2019 10:39 AM,Rejected-Technical,Non Responsive,02-Mar-2019 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Contractor Registration (General Rule No.23) ,GST Registration General Rule No.21), Copy of PAN Car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,111592.0,surender,09-Feb-2019 04:21 PM,Accepted-AOC,1st lowest,27-May-2019 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work done certificate and Work In Hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Registration No. of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form No. 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavits regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit that the contractor should not have more than two works each of Rs. 100 Lacs or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
