Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Technical,Technical Bid Opening Summary,Manoj Bhardwaj,24-Mar-2018 01:50 PM,technical_28200.pdf,1.0,79258.0,Lok Pal Rathour,18-Mar-2018 12:20 PM,Rejected-Finance,L-2,03-May-2019 12:08 PM,Finance,Bid Opening Summary,J.C. Kango,03-May-2019 12:07 PM,finance_28200.pdf,BOQ Comparative Chart,PWD,2018_PWD_19964_5,PW.CHD.CB-E9/2018 11283-11382 DT.2.2.18,Periodic Mantanance on Nerwa to Tharoch road 0/0 to 18/0,Er.J.C.Kango,Internal,,Manoj Bhardwaj,24-Mar-2018 01:56 PM,24-Mar-2018 02:00 PM,techsummary_28200.pdf (165.99 KB),AOC,1.0,DD - Demand Draft,PWD,PW.CHD.CB-E9/2018 11283-11382 DT.2.2.18,2018_PWD_19964_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"84,000",No,fixed,,EE Chopal,Chopal,"2,000",EE Chopal,Chopal,No,Periodic Mantanance on Nerwa to Tharoch road 0/0 to 18/0,(SH Renewal coat and correction of profile with 50mm to 25mm and Modified Penetration Macadam 50mm thick between km 9/0 to 13/500).,Please refer Tender documents. ,NA ,"34,68,277",Civil Works - Roads,NA ,Tender,120.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,06-Mar-2018 05:00 PM,21-Mar-2018 11:00 AM,06-Mar-2018 05:00 PM,19-Mar-2018 05:30 PM,NA ,NA ,06-Mar-2018 05:00 PM,19-Mar-2018 05:30 PM,24-Mar-2018 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),EE Chopal,HPPWD CHOPAL,AOC
,,,,,2.0,79275.0,Uttej Rathour,18-Mar-2018 01:09 PM,Accepted-AOC,L_1,03-May-2019 01:50 PM,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report As Per General Rules 28.2a And 28.2b,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
