Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
23-May-2019,INR 17.32,90.0,Sanjiv Kumar Agnihotri,23-May-2019 07:00 PM,khad.pdf (388.00 KB),ee,Internal,eeaehdmsup,Sanjiv Kumar Agnihotri,23-May-2019 06:56 PM,finsummary_25115.pdf (387.54 KB),EE Nalagarh,Internal,All committee members,Rajinder Singh,01-Nov-2017 03:09 PM,01-Nov-2017 03:15 PM,techsummary_25115.pdf (634.22 KB),PWD,2017_PWD_18580_2,PW.NLD.EA1Tender Publication/2015-16 8121-24,Construction of 12.00 mtr span RCC Solid slab Culvert on Mahadev Khad in Jeor Basti Mahadev,Finance,y,Sanjiv Kumar Agnihotri,23-May-2019 06:52 PM,finance_25115.pdf,BOQ Comparative Chart,1.0,70243.0,BHAJAN SINGH,INR,17.32,Technical,all committee members,Rajinder Singh,01-Nov-2017 03:04 PM,technical_25115.pdf,1.0,70264.0,Amardeep Singh,12-Oct-2017 09:56 AM,Rejected-AOC,y,23-May-2019 07:00 PM,AOC,06-Oct-2017 06:00 PM,12-Oct-2017 11:30 AM,06-Oct-2017 06:00 PM,12-Oct-2017 11:00 AM,NA ,NA ,06-Oct-2017 06:00 PM,12-Oct-2017 11:00 AM,01-Nov-2017 03:15 PM,"1,500",EE Nalagarh,Nalagarh,No,Executive Engineer Nalagarh,HPPWD NALAGARH,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,1. Cost Of Tender (Indicated In Schedule F),Construction of 12.00 mtr span RCC Solid slab Culvert on Mahadev Khad in Jeor Basti Mahadev,Construction of 12.00 mtr span RCC Solid slab Culvert on Mahadev Khad in Jeor Basti Mahadev,Please refer Tender documents. ,NA ,"22,43,644",Civil Works - Bridges,NA ,Tender,120.0,90.0,Nalagarh,174101.0,NA ,NA ,NA ,Nalagarh,No ,No,"34,740",No,fixed,,EE Nalagarh,Nalagarh,PWD,PW.NLD.EA1Tender Publication/2015-16 8121-24,2017_PWD_18580_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,70268.0,anshul,12-Oct-2017 10:58 AM,Rejected-AOC,y,23-May-2019 07:00 PM,AOC,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,2. The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,70243.0,BHAJAN SINGH,11-Oct-2017 05:29 PM,Accepted-AOC,y,23-May-2019 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,70248.0,NARINDER KUMAR,11-Oct-2017 06:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Nov-2017 03:04 PM,AOC,,,,,,,,,,,,,,,,,,,,.pdf,4. GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,70251.0,ranjit singh,11-Oct-2017 07:41 PM,Rejected-AOC,y,23-May-2019 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"6. List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,70274.0,rehana,12-Oct-2017 09:35 AM,Rejected-AOC,y,23-May-2019 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,.pdf,7. Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,8. List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,10. Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
