Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"15,500",No,fixed,,EE Sundernagar,Sundernagar,Executive Engineer Sunder Nagar Division HPPWD,Executive Engineer Sunder Nagar Division HPPWD,26-Feb-2019 11:00 AM,05-Mar-2019 11:00 AM,26-Feb-2019 11:00 AM,04-Mar-2019 06:00 PM,NA ,NA ,26-Feb-2019 11:30 AM,04-Mar-2019 06:00 PM,11-Mar-2019 10:00 AM,PWD,PW-SNR-CB-E-Tender/ GiriRaj/ 18-20286-92 dt 8-2-19,2019_PWD_27858_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Sundernagar,Sundernagar,No,Annual surfacing on Bhawana Maloh road( PMGSY),SH Providing and laying 25mm thick bituminous concrete including profile correction in km 5/0 to 6/0.,Please refer Tender documents. ,NA ,"7,62,845",Civil Works - Roads,NA ,Tender,120.0,30.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,1.0,DD - Demand Draft,AOC,1.0,116856.0,A.A. ENTREPRENEURS,02-Mar-2019 07:38 PM,Rejected-Technical,Non responsive,09-Mar-2019 04:17 PM,Technical,BOS,Naresh Raj Chandel,08-Mar-2019 02:31 PM,technical_39769.pdf,Finance,FBOS,Naresh Raj Chandel,25-Mar-2019 02:20 PM,finance_39769.pdf,BOQ Comparative Chart,1.0,116893.0,Ajmer Singh,INR,"951,757",Er. D.R.Chauhan Executive Engineer,Internal,Er. NR Chandel Member Sh. Sushil Kumar Member Dinesh Sen Member Smt. Girja Sharma Member,Naresh Raj Chandel,09-Mar-2019 04:17 PM,11-Mar-2019 10:00 AM,techsummary_39769.pdf (209.79 KB),PWD,2019_PWD_27858_1,PW-SNR-CB-E-Tender/ GiriRaj/ 18-20286-92 dt 8-2-19,Annual surfacing on Bhawana Maloh road( PMGSY),24-May-2019,"INR 951,757",30.0,Naresh Raj Chandel,24-May-2019 04:06 PM,AOCBhawanaMaloh.pdf (2929.00 KB),AOC issued.,Chief Engineer (MZ),Internal,SE 1st Circle Mandi SE (DandW) MZ EE (D) (RandB) EE SNR Divn. MZ Planning Officer Dy. Contr. (FandA) (MZ),Naresh Raj Chandel,23-May-2019 03:04 PM,finsummary_39769.pdf (2091.86 KB),AOC
,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,2.0,116893.0,Ajmer Singh,03-Mar-2019 03:20 PM,Accepted-AOC,Being lowest,24-May-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,116953.0,S.A ASSOCIATE,04-Mar-2019 10:51 AM,Rejected-Technical,Non responsive,09-Mar-2019 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
