S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,"5,000",Executive Engineer Chamba Division HPPWD Chamba,Chamba,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"Improvement and widening of Chamba Sahu Kiri road Km. 0/0 to 21/0 (Portion Sahu to Kiri Km. 16/0 to 21/0) Improvement / widening, Retailing wall, crash Barrier, Breast walls, Gabion wall, PCC Drain, Cross Drainage work and","Improvement and widening of Chamba Sahu Kiri road Km. 0/0 to 21/0 (Portion Sahu to Kiri Km. 16/0 to 21/0) Improvement / widening, Retailing wall, crash Barrier, Breast walls, Gabion wall, PCC Drain, Cross Drainage work and",Please refer Tender documents. ,NA ,"1,92,83,196",Civil Works - Roads,NA ,Tender,120.0,365.0,Chamba,176310.0,NA ,NA ,NA ,"Superintending Engineer, 7th Circle HPPWD., Dalhou",No ,No,"2,25,400",No,fixed,,Executive Engineer Chamba Division HPPWD Chamba,Chamba,27-Dec-2018 04:00 PM,11-Jan-2019 11:30 AM,27-Dec-2018 04:00 PM,09-Jan-2019 05:00 PM,27-Dec-2018 04:00 PM ,01-Jan-2019 05:00 PM ,27-Dec-2018 04:00 PM,09-Jan-2019 05:00 PM,23-Feb-2019 11:30 AM,PWD,Imp. and widening of Chamba Sahu Kiri road,2018_PWD_25606_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bidding Document in shape of D.D. as shown in IFB sr. No. 3,AOC,1.0,107210.0,NAVID ALI SHAH,INR,"16,130,549",Finance,Bid opening Summary,Jeet Singh Thakur,25-Feb-2019 05:27 PM,finance_35855.pdf,BOQ Comparative Chart,1.0,107050.0,Des Raj and Co.,09-Jan-2019 02:11 AM,Rejected-AOC,L3,28-May-2019 05:30 PM,Technical,Bid opening Summary,Jeet Singh Thakur,18-Jan-2019 11:21 AM,technical_35855.pdf,S.E.,Internal,Superintendent Gr-II Assistant Engineer 7th Circle Dalhousie Executive Engineer chamba Executive Engineer (D) 7th Circle Dalhousie,Jeet Singh Thakur,16-Feb-2019 04:45 PM,23-Feb-2019 11:30 AM,techsummary_35855.pdf (324.36 KB),PWD,2018_PWD_25606_1,Imp. and widening of Chamba Sahu Kiri road,"Improvement and widening of Chamba Sahu Kiri road Km. 0/0 to 21/0 (Portion Sahu to Kiri Km. 16/0 to 21/0) Improvement / widening, Retailing wall, crash Barrier, Breast walls, Gabion wall, PCC Drain, Cross Drainage work and",28-May-2019,"INR 19,328,107",365.0,Jeet Singh Thakur,28-May-2019 05:30 PM,1.AOC2206-15kiri.pdf (331.00 KB),Improvement and widening of Chamba Sahu Kiri road Km. 0/0 to 21/0 (Portion Sahu to Kiri Km. 16/0 to 21/0),SE,Internal,EE D 7th Circle EE Chamba Superintendent works,Jeet Singh Thakur,13-Apr-2019 08:47 PM,finsummary_35855.pdf (666.26 KB),AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per ITB Cl 16.1 of ITB section 1,AOC,,,,,,,,,,,,2.0,107210.0,NAVID ALI SHAH,09-Jan-2019 02:46 PM,Accepted-AOC,L1,28-May-2019 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration/constitution as per ITB Cl 4.3 (a),AOC,,,,,,,,,,,,3.0,107214.0,R P Dhiman,09-Jan-2019 03:57 PM,Rejected-Technical,Non Responsive,16-Feb-2019 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3(a),AOC,,,,,,,,,,,,4.0,107180.0,sahab singh thakur,09-Jan-2019 04:13 PM,Rejected-AOC,l2,28-May-2019 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3(b),AOC,,,,,,,,,,,,5.0,107218.0,Surinder Pal Dhall,09-Jan-2019 04:18 PM,Rejected-Technical,Non Responsive,16-Feb-2019 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3 g and as per sample format in Q.I,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of key personal as per ITB Cl 4.3(e) and Cl 4.5.4,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of key plant and equipment as per ITB Cl 4.3(d) and ITB Cl 4.5.5,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit Limit from the Bank as per ITB Cl 4.5.6,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3(h),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
